expressedTissues,Ensembl Gene ID
48,ENSG00000272186
48,ENSG00000117748
48,ENSG00000130856
48,ENSG00000169446
48,ENSG00000013573
48,ENSG00000255513
48,ENSG00000230510
48,ENSG00000173175
48,ENSG00000185220
48,ENSG00000186019
48,ENSG00000262528
48,ENSG00000089177
48,ENSG00000023191
48,ENSG00000272760
48,ENSG00000132005
48,ENSG00000157224
48,ENSG00000167562
48,ENSG00000160460
48,ENSG00000083290
48,ENSG00000110200
48,ENSG00000273402
48,ENSG00000081026
48,ENSG00000164180
48,ENSG00000228274
48,ENSG00000107951
48,ENSG00000010318
48,ENSG00000152661
48,ENSG00000118242
48,ENSG00000125648
48,ENSG00000197323
48,ENSG00000170160
48,ENSG00000214026
48,ENSG00000174446
48,ENSG00000066379
48,ENSG00000113712
48,ENSG00000179104
48,ENSG00000235381
48,ENSG00000147526
48,ENSG00000114779
48,ENSG00000226864
48,ENSG00000203865
48,ENSG00000173566
48,ENSG00000204272
48,ENSG00000033178
48,ENSG00000128585
48,ENSG00000152475
48,ENSG00000166595
48,ENSG00000174370
48,ENSG00000103994
48,ENSG00000118922
48,ENSG00000224614
48,ENSG00000126226
48,ENSG00000225031
48,ENSG00000248485
48,ENSG00000116852
48,ENSG00000175898
48,ENSG00000152268
48,ENSG00000167984
48,ENSG00000068024
48,ENSG00000180596
48,ENSG00000152380
48,ENSG00000028116
48,ENSG00000136636
48,ENSG00000136153
48,ENSG00000176155
48,ENSG00000109689
48,ENSG00000150779
48,ENSG00000092931
48,ENSG00000130717
48,ENSG00000155189
48,ENSG00000114019
48,ENSG00000261019
48,ENSG00000189058
48,ENSG00000249353
48,ENSG00000149269
48,ENSG00000167695
48,ENSG00000123908
48,ENSG00000155465
48,ENSG00000160741
48,ENSG00000104442
48,ENSG00000162244
48,ENSG00000214765
48,ENSG00000144118
48,ENSG00000270195
48,ENSG00000198870
48,ENSG00000183401
48,ENSG00000254469
48,ENSG00000186787
48,ENSG00000164073
48,ENSG00000185246
48,ENSG00000135766
48,ENSG00000160219
48,ENSG00000050165
48,ENSG00000250571
48,ENSG00000108830
48,ENSG00000187688
48,ENSG00000235560
48,ENSG00000082074
48,ENSG00000011600
48,ENSG00000183977
48,ENSG00000165916
48,ENSG00000170242
48,ENSG00000189011
48,ENSG00000114115
48,ENSG00000126460
48,ENSG00000145734
48,ENSG00000196943
48,ENSG00000228107
48,ENSG00000143977
48,ENSG00000136715
48,ENSG00000161091
48,ENSG00000258768
48,ENSG00000125746
48,ENSG00000119705
48,ENSG00000138430
48,ENSG00000092445
48,ENSG00000007866
48,ENSG00000092199
48,ENSG00000140403
48,ENSG00000170860
48,ENSG00000173950
48,ENSG00000161914
48,ENSG00000138678
48,ENSG00000183484
48,ENSG00000186132
48,ENSG00000167525
48,ENSG00000248445
48,ENSG00000185024
48,ENSG00000165929
48,ENSG00000152229
48,ENSG00000116001
48,ENSG00000267575
48,ENSG00000137500
48,ENSG00000111665
48,ENSG00000164970
48,ENSG00000181544
48,ENSG00000142039
48,ENSG00000084444
48,ENSG00000196139
48,ENSG00000236624
48,ENSG00000259806
