,Ensembl Gene ID,affectedTissues
0,ENSG00000138593,4
1,ENSG00000166351,1
2,ENSG00000168675,1
3,ENSG00000188992,13
4,ENSG00000185272,8
5,ENSG00000182974,1
6,ENSG00000155304,1
7,ENSG00000153575,8
8,ENSG00000180530,2
9,ENSG00000137824,9
10,ENSG00000137880,1
11,ENSG00000104129,9
12,ENSG00000177150,4
13,ENSG00000155313,1
14,ENSG00000101638,4
15,ENSG00000154639,4
16,ENSG00000101654,6
17,ENSG00000078043,8
18,ENSG00000156958,3
19,ENSG00000154640,4
20,ENSG00000140416,9
21,ENSG00000154642,6
22,ENSG00000140577,8
23,ENSG00000166140,36
24,ENSG00000101138,10
25,ENSG00000154645,10
26,ENSG00000068793,15
27,ENSG00000182931,13
28,ENSG00000154646,1
29,ENSG00000168634,5
30,ENSG00000101365,6
31,ENSG00000167216,17
32,ENSG00000124116,47
33,ENSG00000087589,3
34,ENSG00000154654,3
35,ENSG00000166262,15
36,ENSG00000176136,2
37,ENSG00000185231,1
38,ENSG00000103642,24
39,ENSG00000197299,2
40,ENSG00000154719,28
41,ENSG00000175322,36
42,ENSG00000101160,6
43,ENSG00000022277,8
44,ENSG00000166145,5
45,ENSG00000088881,4
46,ENSG00000101162,3
47,ENSG00000140285,2
48,ENSG00000183206,1
49,ENSG00000101457,30
50,ENSG00000154721,2
51,ENSG00000124172,2
52,ENSG00000185088,10
53,ENSG00000170122,34
54,ENSG00000166128,2
55,ENSG00000101166,10
56,ENSG00000167220,13
57,ENSG00000171448,1
58,ENSG00000124103,1
59,ENSG00000104047,5
60,ENSG00000088882,11
61,ENSG00000213714,1
62,ENSG00000104140,3
63,ENSG00000140564,4
64,ENSG00000140157,12
65,ENSG00000087510,5
66,ENSG00000101470,1
67,ENSG00000138613,12
68,ENSG00000011454,10
69,ENSG00000134049,5
70,ENSG00000124205,4
71,ENSG00000180777,8
72,ENSG00000101144,5
73,ENSG00000215474,1
74,ENSG00000172785,46
75,ENSG00000175387,6
76,ENSG00000104043,6
77,ENSG00000165209,5
78,ENSG00000182511,14
79,ENSG00000170113,26
80,ENSG00000074410,9
81,ENSG00000087495,3
82,ENSG00000183784,8
83,ENSG00000067900,1
84,ENSG00000128965,3
85,ENSG00000124104,13
86,ENSG00000148204,2
87,ENSG00000101146,2
88,ENSG00000215305,12
89,ENSG00000153666,23
90,ENSG00000142192,4
91,ENSG00000101473,1
92,ENSG00000140284,8
93,ENSG00000198033,2
94,ENSG00000121388,1
95,ENSG00000132819,4
96,ENSG00000107099,25
97,ENSG00000119522,5
98,ENSG00000166265,2
99,ENSG00000196074,1
100,ENSG00000140287,2
101,ENSG00000132958,4
102,ENSG00000140455,4
103,ENSG00000184828,4
104,ENSG00000259455,1
105,ENSG00000154736,3
106,ENSG00000261739,1
107,ENSG00000196199,20
108,ENSG00000156239,20
109,ENSG00000196547,7
110,ENSG00000107104,11
111,ENSG00000121390,2
112,ENSG00000174450,1
113,ENSG00000119408,6
114,ENSG00000137090,1
115,ENSG00000134030,3
116,ENSG00000064218,4
117,ENSG00000132950,4
118,ENSG00000128322,1
119,ENSG00000198862,2
120,ENSG00000182636,13
121,ENSG00000136930,13
122,ENSG00000185823,5
123,ENSG00000173253,11
124,ENSG00000168612,3
125,ENSG00000187446,7
126,ENSG00000149634,1
127,ENSG00000124257,5
128,ENSG00000180264,3
129,ENSG00000104147,3
130,ENSG00000189269,43
131,ENSG00000156253,33
132,ENSG00000132670,2
133,ENSG00000132825,1
134,ENSG00000128739,4
135,ENSG00000148200,1
136,ENSG00000159496,6
137,ENSG00000064601,5
138,ENSG00000185585,5
139,ENSG00000156256,3
140,ENSG00000141446,3
141,ENSG00000137804,21
142,ENSG00000197361,8
143,ENSG00000136918,1
144,ENSG00000080503,3
145,ENSG00000136950,8
146,ENSG00000176659,9
147,ENSG00000167088,2
148,ENSG00000128218,21
149,ENSG00000138592,8
150,ENSG00000179242,16
151,ENSG00000136935,9
152,ENSG00000169314,1
153,ENSG00000173281,3
154,ENSG00000103657,4
155,ENSG00000158201,6
156,ENSG00000250479,13
157,ENSG00000124253,1
158,ENSG00000121743,4
159,ENSG00000141627,4
160,ENSG00000165474,15
161,ENSG00000140553,15
162,ENSG00000102309,34
163,ENSG00000099953,3
164,ENSG00000121742,5
165,ENSG00000173611,11
166,ENSG00000156261,29
167,ENSG00000173273,3
168,ENSG00000130699,1
169,ENSG00000147852,14
170,ENSG00000165475,15
171,ENSG00000035664,14
172,ENSG00000137806,34
173,ENSG00000099956,27
174,ENSG00000198034,2
175,ENSG00000177576,11
176,ENSG00000125787,1
177,ENSG00000119414,11
178,ENSG00000137815,2
179,ENSG00000101752,6
180,ENSG00000124256,2
181,ENSG00000166797,1
182,ENSG00000099958,2
183,ENSG00000168263,1
184,ENSG00000125901,18
185,ENSG00000101405,1
186,ENSG00000149657,3
187,ENSG00000170236,1
188,ENSG00000136933,8
189,ENSG00000147535,3
190,ENSG00000080608,5
191,ENSG00000032742,29
192,ENSG00000156265,5
193,ENSG00000124225,6
194,ENSG00000175806,7
195,ENSG00000172458,5
196,ENSG00000028528,11
197,ENSG00000133460,35
198,ENSG00000092439,2
199,ENSG00000169762,7
200,ENSG00000150456,2
201,ENSG00000102096,1
202,ENSG00000101182,1
203,ENSG00000114062,2
204,ENSG00000176731,9
205,ENSG00000156273,1
206,ENSG00000100979,22
207,ENSG00000137825,3
208,ENSG00000124227,1
