,Ensembl Gene ID,affectedTissues
0,ENSG00000138593,24
1,ENSG00000166157,1
2,ENSG00000168675,10
3,ENSG00000188992,30
4,ENSG00000185272,48
5,ENSG00000155304,23
6,ENSG00000197414,1
7,ENSG00000166200,44
8,ENSG00000155307,4
9,ENSG00000243440,2
10,ENSG00000153575,48
11,ENSG00000180530,12
12,ENSG00000137824,47
13,ENSG00000259458,1
14,ENSG00000137880,3
15,ENSG00000104129,48
16,ENSG00000177150,43
17,ENSG00000155313,9
18,ENSG00000101638,40
19,ENSG00000154639,18
20,ENSG00000101654,47
21,ENSG00000078043,47
22,ENSG00000156958,42
23,ENSG00000154640,12
24,ENSG00000140416,40
25,ENSG00000154642,20
26,ENSG00000140577,47
27,ENSG00000166140,48
28,ENSG00000101138,48
29,ENSG00000154645,34
30,ENSG00000068793,48
31,ENSG00000182931,22
32,ENSG00000154646,1
33,ENSG00000168634,10
34,ENSG00000101365,48
35,ENSG00000167216,48
36,ENSG00000124116,48
37,ENSG00000087589,15
38,ENSG00000154654,38
39,ENSG00000166143,2
40,ENSG00000166262,48
41,ENSG00000176136,3
42,ENSG00000185231,2
43,ENSG00000103642,48
44,ENSG00000197299,11
45,ENSG00000154719,48
46,ENSG00000175322,48
47,ENSG00000101160,48
48,ENSG00000022277,40
49,ENSG00000166145,27
50,ENSG00000088881,37
51,ENSG00000101162,36
52,ENSG00000140285,40
53,ENSG00000101457,48
54,ENSG00000154721,24
55,ENSG00000124172,24
56,ENSG00000185088,48
57,ENSG00000206181,5
58,ENSG00000170122,48
59,ENSG00000166128,23
60,ENSG00000175063,3
61,ENSG00000124091,3
62,ENSG00000101166,48
63,ENSG00000167220,47
64,ENSG00000154723,28
65,ENSG00000171448,26
66,ENSG00000124103,40
67,ENSG00000104047,47
68,ENSG00000088882,45
69,ENSG00000213714,47
70,ENSG00000104140,10
71,ENSG00000140564,34
72,ENSG00000140157,48
73,ENSG00000154727,7
74,ENSG00000087510,18
75,ENSG00000124203,4
76,ENSG00000101470,16
77,ENSG00000104142,5
78,ENSG00000138613,47
79,ENSG00000011454,48
80,ENSG00000134049,33
81,ENSG00000124205,11
82,ENSG00000180777,24
83,ENSG00000101144,26
84,ENSG00000215474,2
85,ENSG00000258713,5
86,ENSG00000188394,3
87,ENSG00000172785,48
88,ENSG00000132635,15
89,ENSG00000175387,47
90,ENSG00000104043,48
91,ENSG00000165209,8
92,ENSG00000182511,48
93,ENSG00000170113,48
94,ENSG00000074410,31
95,ENSG00000087495,17
96,ENSG00000183784,42
97,ENSG00000067900,25
98,ENSG00000128965,8
99,ENSG00000124104,48
100,ENSG00000148204,17
101,ENSG00000101146,17
102,ENSG00000215305,48
103,ENSG00000153666,43
104,ENSG00000142192,17
105,ENSG00000101473,45
106,ENSG00000128908,4
107,ENSG00000140284,43
108,ENSG00000198033,12
109,ENSG00000256222,1
110,ENSG00000132819,20
111,ENSG00000107099,48
112,ENSG00000119522,46
113,ENSG00000141449,1
114,ENSG00000166265,44
115,ENSG00000196074,18
116,ENSG00000140287,15
117,ENSG00000132958,39
118,ENSG00000140455,47
119,ENSG00000184828,14
120,ENSG00000154734,12
121,ENSG00000106689,1
122,ENSG00000259455,3
123,ENSG00000154736,27
124,ENSG00000261739,4
125,ENSG00000196199,48
126,ENSG00000178997,5
127,ENSG00000156239,48
128,ENSG00000196547,48
129,ENSG00000107104,46
130,ENSG00000121390,43
131,ENSG00000174450,1
132,ENSG00000269591,3
133,ENSG00000119408,25
134,ENSG00000137090,1
135,ENSG00000104064,7
136,ENSG00000179455,1
137,ENSG00000134030,48
138,ENSG00000064218,20
139,ENSG00000132950,48
140,ENSG00000128322,3
141,ENSG00000198862,45
142,ENSG00000182636,46
143,ENSG00000136930,48
144,ENSG00000185823,20
145,ENSG00000173253,37
146,ENSG00000168612,25
147,ENSG00000187446,48
148,ENSG00000149634,47
149,ENSG00000124257,47
150,ENSG00000180264,10
151,ENSG00000104147,44
152,ENSG00000189269,47
153,ENSG00000156253,48
154,ENSG00000101665,43
155,ENSG00000196227,4
156,ENSG00000132670,40
157,ENSG00000132825,4
158,ENSG00000128739,32
159,ENSG00000148200,13
160,ENSG00000124215,48
161,ENSG00000159496,36
162,ENSG00000064601,37
163,ENSG00000185585,32
164,ENSG00000156256,9
165,ENSG00000141446,43
166,ENSG00000121741,2
167,ENSG00000137804,36
168,ENSG00000197361,48
169,ENSG00000136918,22
170,ENSG00000080503,46
171,ENSG00000136942,41
172,ENSG00000136950,48
173,ENSG00000176659,46
174,ENSG00000187792,6
175,ENSG00000167088,48
176,ENSG00000128218,45
177,ENSG00000138592,47
178,ENSG00000179242,47
179,ENSG00000136935,48
180,ENSG00000169314,20
181,ENSG00000173281,18
182,ENSG00000103657,29
183,ENSG00000253426,3
184,ENSG00000158201,42
185,ENSG00000250479,48
186,ENSG00000124253,17
187,ENSG00000121743,18
188,ENSG00000141627,48
189,ENSG00000165474,44
190,ENSG00000140553,46
191,ENSG00000102309,48
192,ENSG00000099953,19
193,ENSG00000179253,4
194,ENSG00000121742,15
195,ENSG00000173611,48
196,ENSG00000156261,48
197,ENSG00000173273,14
198,ENSG00000130699,32
199,ENSG00000147852,35
200,ENSG00000186871,35
201,ENSG00000165475,48
202,ENSG00000035664,33
203,ENSG00000137806,47
204,ENSG00000099956,48
205,ENSG00000198034,42
206,ENSG00000177576,48
207,ENSG00000125787,9
208,ENSG00000119414,48
209,ENSG00000137815,24
210,ENSG00000101752,48
211,ENSG00000124256,9
212,ENSG00000166797,13
213,ENSG00000099958,44
214,ENSG00000168263,42
215,ENSG00000125901,48
216,ENSG00000101405,15
217,ENSG00000149657,29
218,ENSG00000170236,5
219,ENSG00000136933,48
220,ENSG00000147535,41
221,ENSG00000102100,17
222,ENSG00000080608,45
223,ENSG00000032742,48
224,ENSG00000044574,4
225,ENSG00000156265,46
226,ENSG00000124225,35
227,ENSG00000175806,47
228,ENSG00000172458,40
229,ENSG00000028528,48
230,ENSG00000133460,48
231,ENSG00000092439,25
232,ENSG00000169762,31
233,ENSG00000150456,48
234,ENSG00000265681,26
235,ENSG00000102096,6
236,ENSG00000101182,7
237,ENSG00000114062,33
238,ENSG00000176731,20
239,ENSG00000156273,48
240,ENSG00000080298,6
241,ENSG00000100979,48
242,ENSG00000137825,17
243,ENSG00000132953,48
244,ENSG00000263588,1
245,ENSG00000186416,13
246,ENSG00000185019,48
247,ENSG00000068308,2
248,ENSG00000123908,47
