field,value,count
gene_id,ENSG00000229273.1,97
gene_id,ENSG00000204837.2,100
gene_id,ENSG00000237846.1,118
gene_id,ENSG00000212951.4,143
gene_id,ENSG00000226007.2,143
gene_id,ENSG00000240240.4,157
gene_id,ENSG00000227449.4,171
gene_id,ENSG00000231995.2,174
gene_id,ENSG00000223839.3,191
gene_id,ENSG00000232433.2,203
gene_id,ENSG00000231997.1,227
gene_id,ENSG00000237198.2,228
gene_id,ENSG00000226546.1,228
gene_id,ENSG00000237792.3,242
gene_id,ENSG00000196409.7,337
gene_id,ENSG00000215142.4,346
gene_id,ENSG00000185020.5,349
gene_id,ENSG00000227318.4,359
gene_id,ENSG00000250687.2,366
gene_id,ENSG00000226259.6,371
gene_id,ENSG00000253333.1,380
gene_id,ENSG00000237075.4,383
gene_id,ENSG00000270092.2,386
gene_id,ENSG00000205565.6,400
gene_id,ENSG00000198312.4,408
gene_id,ENSG00000250918.2,412
gene_id,ENSG00000197550.3,424
gene_id,ENSG00000230880.2,424
gene_id,ENSG00000225015.1,424
gene_id,ENSG00000233218.1,426
gene_id,ENSG00000203849.6,426
gene_id,ENSG00000264462.1,430
gene_id,ENSG00000237869.2,430
gene_id,ENSG00000202474.1,431
gene_id,ENSG00000229422.1,431
gene_id,ENSG00000237451.3,431
gene_id,ENSG00000184523.3,431
gene_id,ENSG00000238113.2,431
gene_id,ENSG00000238245.2,431
gene_id,ENSG00000170161.6,433
gene_id,ENSG00000227582.2,433
gene_id,ENSG00000234665.4,434
gene_id,ENSG00000234978.1,447
gene_id,ENSG00000236055.1,447
gene_id,ENSG00000232745.2,447
gene_id,ENSG00000230255.1,447
gene_id,ENSG00000225278.3,488
gene_id,ENSG00000232274.2,488
gene_id,ENSG00000238261.5,488
gene_id,ENSG00000229156.1,488
gene_id,ENSG00000232336.1,488
gene_id,ENSG00000230850.3,488
gene_id,ENSG00000224185.1,488
gene_id,ENSG00000185044.10,488
gene_id,ENSG00000224106.1,488
gene_id,ENSG00000235310.1,496
gene_id,ENSG00000204788.3,504
gene_id,ENSG00000172014.11,504
gene_id,ENSG00000268578.1,515
gene_id,ENSG00000187060.5,515
gene_id,ENSG00000182368.4,516
gene_id,ENSG00000204807.1,516
gene_id,ENSG00000229523.1,516
gene_id,ENSG00000186466.4,536
gene_id,ENSG00000236157.2,541
gene_id,ENSG00000234299.4,544
gene_id,ENSG00000237238.2,563
gene_id,ENSG00000233991.2,568
gene_id,ENSG00000261600.1,568
gene_id,ENSG00000143429.5,568
gene_id,ENSG00000155282.7,572
gene_id,ENSG00000188681.7,572
gene_id,ENSG00000196774.3,573
gene_id,ENSG00000166157.12,587
gene_id,ENSG00000187172.11,587
gene_id,ENSG00000223804.1,589
gene_id,ENSG00000236334.1,589
gene_id,ENSG00000232833.4,598
gene_id,ENSG00000236233.3,599
gene_id,ENSG00000240007.1,602
gene_id,ENSG00000253816.2,602
gene_id,ENSG00000231734.4,622
gene_id,ENSG00000204790.8,645
gene_id,ENSG00000232815.1,654
gene_id,ENSG00000225411.2,654
gene_id,ENSG00000215548.2,666
gene_id,ENSG00000229789.1,720
gene_id,ENSG00000132498.7,725
gene_id,ENSG00000232866.3,729
gene_id,ENSG00000204794.6,738
gene_id,ENSG00000215784.4,757
gene_id,ENSG00000196369.6,760
gene_id,ENSG00000231360.2,781
gene_id,ENSG00000227558.4,793
gene_id,ENSG00000233961.1,795
gene_id,ENSG00000231242.1,798
gene_id,ENSG00000227921.1,830
gene_id,ENSG00000254701.2,855
gene_id,ENSG00000231527.1,926
gene_id,ENSG00000236943.2,938
gene_id,ENSG00000154529.10,1022
gene_id,ENSG00000204805.7,1030
gene_id,ENSG00000225241.3,1115
gene_id,ENSG00000179978.10,1129
gene_id,ENSG00000203843.3,1150
gene_id,ENSG00000204778.4,1159
gene_id,ENSG00000258410.1,1161
gene_id,ENSG00000258780.1,1161
gene_id,ENSG00000180229.8,1170
gene_id,ENSG00000258590.1,1176
gene_id,ENSG00000232527.3,1194
gene_id,ENSG00000243452.3,1224
gene_id,ENSG00000226675.1,1225
gene_id,ENSG00000237253.1,1225
gene_id,ENSG00000260409.1,1242
gene_id,ENSG00000213355.3,1249
gene_id,ENSG00000215270.3,1261
gene_id,ENSG00000215861.4,1278
gene_id,ENSG00000223564.1,1284
gene_id,ENSG00000232502.1,1285
gene_id,ENSG00000203827.7,1287
gene_id,ENSG00000261239.2,1289
gene_id,ENSG00000265577.1,1312
gene_id,ENSG00000235571.1,1316
gene_id,ENSG00000171241.4,1338
gene_id,ENSG00000261512.2,1341
gene_id,ENSG00000259856.1,1345
gene_id,ENSG00000237357.1,1357
gene_id,ENSG00000272872.1,1367
gene_id,ENSG00000170165.5,1367
gene_id,ENSG00000206195.6,1373
gene_id,ENSG00000261131.1,1376
gene_id,ENSG00000236816.2,1383
gene_id,ENSG00000250753.2,1384
gene_id,ENSG00000234367.1,1386
gene_id,ENSG00000203832.6,1393
gene_id,ENSG00000229089.2,1400
gene_id,ENSG00000069329.11,1408
gene_id,ENSG00000091651.4,1408
gene_id,ENSG00000163060.6,1411
gene_id,ENSG00000177144.5,1413
gene_id,ENSG00000272709.1,1413
gene_id,ENSG00000223380.3,1413
gene_id,ENSG00000163386.16,1413
gene_id,ENSG00000213240.7,1413
gene_id,ENSG00000233396.3,1414
gene_id,ENSG00000178104.15,1418
gene_id,ENSG00000261788.1,1422
gene_id,ENSG00000168614.13,1425
gene_id,ENSG00000272755.1,1432
gene_id,ENSG00000268172.1,1435
gene_id,ENSG00000117289.7,1438
gene_id,ENSG00000168509.13,1438
gene_id,ENSG00000121851.8,1441
gene_id,ENSG00000181039.7,1441
gene_id,ENSG00000255148.2,1449
gene_id,ENSG00000254539.1,1449
gene_id,ENSG00000152022.7,1451
gene_id,ENSG00000205571.8,1479
gene_id,ENSG00000251056.1,1490
gene_id,ENSG00000227232.4,1493
gene_id,ENSG00000140795.8,1498
gene_id,ENSG00000248583.1,1526
gene_id,ENSG00000230823.2,1552
gene_id,ENSG00000260782.1,1591
gene_id,ENSG00000205572.5,1603
gene_id,ENSG00000231752.1,1604
gene_id,ENSG00000272583.1,1606
gene_id,ENSG00000186767.5,1611
gene_id,ENSG00000233661.1,1613
gene_id,ENSG00000131795.8,1621
gene_id,ENSG00000234222.2,1622
gene_id,ENSG00000172005.6,1636
gene_id,ENSG00000179304.12,1638
gene_id,ENSG00000184205.10,1658
gene_id,ENSG00000251079.2,1662
gene_id,ENSG00000204172.7,1662
gene_id,ENSG00000232593.2,1663
gene_id,ENSG00000270497.1,1669
gene_id,ENSG00000211451.7,1676
gene_id,ENSG00000131779.6,1678
gene_id,ENSG00000184194.5,1682
gene_id,ENSG00000182646.12,1687
gene_id,ENSG00000231340.1,1697
gene_id,ENSG00000227329.2,1710
gene_id,ENSG00000270189.1,1712
gene_id,ENSG00000144029.7,1714
gene_id,ENSG00000143127.8,1722
gene_id,ENSG00000182484.10,1728
gene_id,ENSG00000155330.5,1738
gene_id,ENSG00000224781.1,1744
gene_id,ENSG00000126012.7,1745
gene_id,ENSG00000163067.10,1781
gene_id,ENSG00000144026.7,1781
gene_id,ENSG00000207501.1,1781
gene_id,ENSG00000124313.8,1786
gene_id,ENSG00000236140.1,1786
gene_id,ENSG00000189014.6,1817
gene_id,ENSG00000233757.2,1828
gene_id,ENSG00000198483.8,1846
gene_id,ENSG00000158423.12,1855
gene_id,ENSG00000072501.13,1855
gene_id,ENSG00000235437.3,1857
gene_id,ENSG00000124333.10,1861
gene_id,ENSG00000260518.1,1873
gene_id,ENSG00000233250.1,1874
gene_id,ENSG00000072506.8,1875
gene_id,ENSG00000166123.9,1877
gene_id,ENSG00000172058.11,1887
gene_id,ENSG00000155066.11,1910
gene_id,ENSG00000223612.2,1915
gene_id,ENSG00000223477.3,1924
gene_id,ENSG00000115041.8,1938
gene_id,ENSG00000260781.1,1947
gene_id,ENSG00000131788.11,1954
gene_id,ENSG00000260611.1,1961
gene_id,ENSG00000227082.1,1969
gene_id,ENSG00000086758.11,1987
gene_id,ENSG00000213412.3,1989
gene_id,ENSG00000269996.1,1991
gene_id,ENSG00000168939.6,1995
gene_id,ENSG00000172062.12,2014
gene_id,ENSG00000131089.9,2021
gene_id,ENSG00000147996.12,2037
gene_id,ENSG00000186364.7,2043
gene_id,ENSG00000232721.1,2050
gene_id,ENSG00000223779.4,2057
gene_id,ENSG00000238009.2,2073
gene_id,ENSG00000115042.5,2079
gene_id,ENSG00000185973.6,2083
gene_id,ENSG00000233750.3,2086
gene_id,ENSG00000069345.7,2101
gene_id,ENSG00000261173.1,2101
gene_id,ENSG00000186141.4,2104
gene_id,ENSG00000121848.9,2104
gene_id,ENSG00000154545.12,2117
gene_id,ENSG00000122497.13,2119
gene_id,ENSG00000237683.5,2123
gene_id,ENSG00000239906.1,2126
gene_id,ENSG00000198237.7,2143
gene_id,ENSG00000171943.7,2147
gene_id,ENSG00000187243.12,2152
gene_id,ENSG00000204174.2,2185
gene_id,ENSG00000156531.12,2191
gene_id,ENSG00000226067.2,2198
gene_id,ENSG00000252105.1,2203
gene_id,ENSG00000235999.1,2204
gene_id,ENSG00000165704.10,2212
gene_id,ENSG00000223491.1,2214
gene_id,ENSG00000203952.5,2217
gene_id,ENSG00000226107.1,2221
gene_id,ENSG00000227060.2,2227
gene_id,ENSG00000223749.3,2229
gene_id,ENSG00000076716.7,2235
gene_id,ENSG00000067900.6,2254
gene_id,ENSG00000272913.1,2277
gene_id,ENSG00000229689.2,2278
gene_id,ENSG00000101928.8,2289
gene_id,ENSG00000236431.1,2298
gene_id,ENSG00000273305.1,2302
gene_id,ENSG00000184785.4,2306
gene_id,ENSG00000156500.10,2311
gene_id,ENSG00000168992.3,2317
gene_id,ENSG00000212747.3,2317
gene_id,ENSG00000225393.1,2318
gene_id,ENSG00000225471.2,2318
gene_id,ENSG00000134590.9,2318
gene_id,ENSG00000156504.12,2319
gene_id,ENSG00000227008.2,2322
gene_id,ENSG00000242732.3,2322
gene_id,ENSG00000170965.5,2327
gene_id,ENSG00000186871.5,2328
gene_id,ENSG00000102309.8,2329
gene_id,ENSG00000203950.6,2337
gene_id,ENSG00000147257.9,2337
gene_id,ENSG00000147231.9,2340
gene_id,ENSG00000241860.2,2344
gene_id,ENSG00000172943.14,2347
gene_id,ENSG00000184675.5,2349
gene_id,ENSG00000198022.6,2350
gene_id,ENSG00000196972.6,2351
gene_id,ENSG00000165359.10,2354
gene_id,ENSG00000225235.1,2354
gene_id,ENSG00000102409.9,2360
gene_id,ENSG00000171004.13,2368
gene_id,ENSG00000184083.7,2370
gene_id,ENSG00000133135.9,2372
gene_id,ENSG00000198689.5,2374
gene_id,ENSG00000133138.15,2384
gene_id,ENSG00000169446.4,2385
gene_id,ENSG00000047634.10,2391
gene_id,ENSG00000249437.3,2392
gene_id,ENSG00000178947.8,2392
gene_id,ENSG00000198034.6,2395
gene_id,ENSG00000022267.12,2396
gene_id,ENSG00000173275.8,2396
gene_id,ENSG00000186376.10,2397
gene_id,ENSG00000230162.1,2408
gene_id,ENSG00000171208.5,2410
gene_id,ENSG00000181433.5,2416
gene_id,ENSG00000180964.12,2420
gene_id,ENSG00000254353.1,2420
