Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSBTAG00000006648	1	339070	350389	-1
ENSBTAG00000054829	1	626079	668340	1
ENSBTAG00000001753	1	764121	820845	-1
ENSBTAG00000046015	1	141872518	141872892	1
ENSBTAG00000021251	1	142011078	142037290	-1
ENSBTAG00000020035	1	882081	1002223	1
ENSBTAG00000005540	1	904168	904713	-1
ENSBTAG00000001150	1	1040523	1047017	1
ENSBTAG00000026259	1	1061262	1061597	1
ENSBTAG00000051226	1	1071552	1077244	1
ENSBTAG00000013841	1	1099127	1100145	-1
ENSBTAG00000021253	1	142065605	142132485	-1
ENSBTAG00000011528	1	1102887	1118312	-1
ENSBTAG00000026260	1	1123943	1131748	-1
ENSBTAG00000012594	1	1390803	1455219	-1
ENSBTAG00000021259	1	142142610	142204837	-1
ENSBTAG00000018278	1	1643628	1651039	1
ENSBTAG00000030836	1	142235364	142253631	-1
ENSBTAG00000021997	1	1665339	1908788	-1
ENSBTAG00000021270	1	142327757	142403210	1
ENSBTAG00000008490	1	1909498	1943914	1
ENSBTAG00000021272	1	142488705	142561127	1
ENSBTAG00000035175	1	1942815	1954023	1
ENSBTAG00000021276	1	142565466	142569246	-1
ENSBTAG00000030814	1	142614729	142618268	-1
ENSBTAG00000008482	1	1954230	1985068	-1
ENSBTAG00000048276	1	142629559	142634531	-1
ENSBTAG00000021280	1	142660182	142680495	-1
ENSBTAG00000023398	1	142694786	142737902	1
ENSBTAG00000009188	1	1985522	2012383	1
ENSBTAG00000009187	1	2028900	2030042	1
ENSBTAG00000001258	1	2046733	2083566	1
ENSBTAG00000021284	1	142759178	142772547	-1
ENSBTAG00000050537	1	76130415	76130618	1
ENSBTAG00000012899	1	2098968	2124278	-1
ENSBTAG00000051592	1	76376779	76383714	1
ENSBTAG00000013205	1	76577593	76723526	-1
ENSBTAG00000021286	1	142814827	142872558	1
ENSBTAG00000013456	1	76794862	76815721	1
ENSBTAG00000006494	1	76847361	76869738	-1
ENSBTAG00000013148	1	76973808	76989396	1
ENSBTAG00000021025	1	77130100	77309576	1
ENSBTAG00000015460	1	77389337	77689118	-1
ENSBTAG00000021819	1	2189895	2218344	-1
ENSBTAG00000053900	1	78003183	78008962	1
ENSBTAG00000019404	1	2242523	2314142	-1
ENSBTAG00000032538	1	78014932	78184743	-1
ENSBTAG00000021899	1	142930579	143034932	1
ENSBTAG00000015212	1	2315596	2350090	-1
ENSBTAG00000044001	1	78452386	79136219	-1
ENSBTAG00000021490	1	143087683	143108077	-1
ENSBTAG00000049984	1	79202424	79203656	-1
ENSBTAG00000051429	1	2398499	2398810	1
ENSBTAG00000051548	1	2410576	2410773	-1
ENSBTAG00000001511	1	79558314	79611183	1
ENSBTAG00000037547	1	2497798	2499871	-1
ENSBTAG00000049136	1	2547063	2548046	-1
ENSBTAG00000043993	1	2749168	2768577	1
ENSBTAG00000003179	1	79629615	79633348	1
ENSBTAG00000003064	1	2786812	2819637	1
ENSBTAG00000017312	1	79657444	79659377	1
ENSBTAG00000021491	1	143119850	143131757	1
ENSBTAG00000032265	1	79911983	79916543	-1
ENSBTAG00000003063	1	2827691	2916599	1
ENSBTAG00000012467	1	80006310	80074215	1
ENSBTAG00000014153	1	143182017	143202288	1
ENSBTAG00000000160	1	143219189	143242441	-1
ENSBTAG00000012706	1	80082559	80085391	-1
ENSBTAG00000011645	1	143261977	143274941	-1
ENSBTAG00000003059	1	2924656	2936276	1
ENSBTAG00000010357	1	80194829	80267738	-1
ENSBTAG00000017310	1	2978428	3080528	-1
ENSBTAG00000003134	1	143317096	143319925	1
ENSBTAG00000006872	1	80349375	80351782	1
ENSBTAG00000052213	1	80416135	80427813	-1
ENSBTAG00000014727	1	80452885	80467441	1
ENSBTAG00000014724	1	80467443	80473754	-1
ENSBTAG00000011437	1	143512564	143523992	-1
ENSBTAG00000012412	1	3103263	3180340	1
ENSBTAG00000023718	1	3183412	3197291	-1
ENSBTAG00000016619	1	3209824	3222938	1
ENSBTAG00000005122	1	80506965	80530772	-1
ENSBTAG00000001265	1	80536976	80545514	-1
ENSBTAG00000017531	1	80560914	80576233	-1
ENSBTAG00000000522	1	80611849	80618915	-1
ENSBTAG00000003151	1	80643739	80661936	-1
ENSBTAG00000017407	1	143641658	143729051	-1
ENSBTAG00000003143	1	80666383	80688899	1
ENSBTAG00000003140	1	80690735	80696502	1
ENSBTAG00000017418	1	143729215	143755086	1
ENSBTAG00000018186	1	143782380	143810301	1
ENSBTAG00000018189	1	143819489	143823793	-1
ENSBTAG00000000524	1	143846935	143850428	-1
ENSBTAG00000020762	1	3501645	3629427	-1
ENSBTAG00000003981	1	143851101	143874772	1
ENSBTAG00000018855	1	3760509	3822150	1
ENSBTAG00000020456	1	143941826	144025795	1
ENSBTAG00000018854	1	3824601	3833406	-1
ENSBTAG00000007100	1	144056126	144132832	1
ENSBTAG00000007105	1	144134113	144147949	1
ENSBTAG00000007106	1	144148919	144158060	1
ENSBTAG00000005091	1	80873608	81097089	1
ENSBTAG00000014880	1	144225436	144234833	-1
ENSBTAG00000014915	1	81135305	81194599	1
ENSBTAG00000014882	1	144242585	144256996	-1
ENSBTAG00000011305	1	81254282	81273853	-1
ENSBTAG00000017839	1	4192104	4358253	1
ENSBTAG00000048631	1	4381315	4431774	1
ENSBTAG00000001697	1	81287578	81307980	1
ENSBTAG00000034869	1	4673635	4674514	1
ENSBTAG00000046804	1	4736889	4737152	1
ENSBTAG00000015812	1	4759050	4760169	1
ENSBTAG00000048503	1	4770078	4770269	1
ENSBTAG00000007666	1	81402025	81572413	1
ENSBTAG00000050662	1	4845319	4845591	-1
ENSBTAG00000054173	1	4857239	4857508	1
ENSBTAG00000023393	1	144284837	144298200	1
ENSBTAG00000049506	1	4868145	4868417	-1
ENSBTAG00000049468	1	4913814	4914086	1
ENSBTAG00000052340	1	4925768	4926037	-1
ENSBTAG00000044154	1	4957550	4957843	-1
ENSBTAG00000001749	1	81586790	81621312	-1
ENSBTAG00000001535	1	81636267	81688516	1
ENSBTAG00000052530	1	5173646	5173873	-1
ENSBTAG00000051544	1	5195059	5195313	-1
ENSBTAG00000052321	1	5389438	5389653	1
ENSBTAG00000017115	1	81696499	81706039	1
ENSBTAG00000053953	1	5448262	5448483	1
ENSBTAG00000054015	1	5489982	5490224	-1
ENSBTAG00000052457	1	5506542	5506952	-1
ENSBTAG00000051579	1	144302157	144309156	-1
ENSBTAG00000039602	1	5510180	5511024	1
ENSBTAG00000017103	1	81711839	81868201	-1
ENSBTAG00000050522	1	5522179	5581920	1
ENSBTAG00000010658	1	144308711	144335975	1
ENSBTAG00000037933	1	5560876	5561253	-1
ENSBTAG00000055221	1	5581423	5586373	1
ENSBTAG00000052202	1	5627779	5628384	1
ENSBTAG00000046384	1	5689903	5690709	1
ENSBTAG00000019625	1	81877674	81931209	1
ENSBTAG00000019589	1	144341397	144352212	-1
ENSBTAG00000039820	1	5770225	5772218	1
ENSBTAG00000039255	1	5830120	5830797	1
ENSBTAG00000021901	1	144361187	144410547	1
ENSBTAG00000007296	1	81956536	81960076	1
ENSBTAG00000005212	1	81984064	82104798	1
ENSBTAG00000017882	1	144424403	144426734	1
ENSBTAG00000005209	1	82116216	82377026	-1
ENSBTAG00000018607	1	144441578	144619108	-1
ENSBTAG00000034854	1	6112447	6577795	1
ENSBTAG00000051900	1	144490028	144492086	-1
ENSBTAG00000037662	1	144498435	144499274	-1
ENSBTAG00000052773	1	144515247	144516447	-1
ENSBTAG00000040291	1	144560582	144561641	1
ENSBTAG00000053056	1	144570008	144570913	1
ENSBTAG00000018610	1	144579697	144580388	1
ENSBTAG00000051778	1	144597151	144597495	1
ENSBTAG00000050038	1	144605123	144611696	1
ENSBTAG00000048090	1	144659041	144684327	-1
ENSBTAG00000017321	1	144687135	144696665	-1
ENSBTAG00000004139	1	6815185	6858058	-1
ENSBTAG00000007444	1	7005502	7053831	-1
ENSBTAG00000050932	1	82384309	82406799	-1
ENSBTAG00000019014	1	82499645	82501239	1
ENSBTAG00000021771	1	144713171	144730575	-1
ENSBTAG00000017060	1	144759527	144789479	-1
ENSBTAG00000014233	1	7114205	7127950	1
ENSBTAG00000005313	1	82610922	82631983	-1
ENSBTAG00000008343	1	82703621	82705452	1
ENSBTAG00000050376	1	82754031	82755812	1
ENSBTAG00000002878	1	82803353	82813103	-1
ENSBTAG00000000476	1	82816651	82821567	1
ENSBTAG00000020122	1	7129414	7155271	-1
ENSBTAG00000040199	1	82824296	82829473	-1
ENSBTAG00000017010	1	144809574	144833722	1
ENSBTAG00000012284	1	82830348	82844401	1
ENSBTAG00000017486	1	144937738	145050738	1
ENSBTAG00000007818	1	145089416	145103157	-1
ENSBTAG00000020121	1	7167841	7170830	1
ENSBTAG00000000201	1	7183913	7240822	1
ENSBTAG00000012273	1	82845021	82851428	-1
ENSBTAG00000038433	1	7246094	7246462	1
ENSBTAG00000001412	1	7259998	7280970	-1
ENSBTAG00000012881	1	82854035	82872768	-1
ENSBTAG00000052349	1	8918075	8918386	1
ENSBTAG00000052332	1	8960274	8960585	1
ENSBTAG00000005660	1	82878892	82888239	-1
ENSBTAG00000023907	1	145202138	145296595	1
ENSBTAG00000000648	1	9440973	9491324	1
ENSBTAG00000005658	1	82894597	82909029	-1
ENSBTAG00000000706	1	9583345	9592271	1
ENSBTAG00000024162	1	145299698	145325287	-1
ENSBTAG00000050914	1	9868852	10011696	1
ENSBTAG00000005657	1	82918317	82920472	1
ENSBTAG00000051586	1	82920059	82927198	-1
ENSBTAG00000030775	1	145395830	145625230	1
ENSBTAG00000005652	1	82927910	82933513	1
ENSBTAG00000040399	1	82933517	82945153	-1
ENSBTAG00000006920	1	82960351	82968194	-1
ENSBTAG00000048318	1	145537854	145538926	-1
ENSBTAG00000011802	1	145668949	145687210	1
ENSBTAG00000020106	1	82970702	82977115	-1
ENSBTAG00000017753	1	10231296	10543984	1
ENSBTAG00000019336	1	82981845	82996905	-1
ENSBTAG00000011414	1	83002134	83012323	-1
ENSBTAG00000040304	1	83030383	83035642	-1
ENSBTAG00000016624	1	83064169	83070990	-1
ENSBTAG00000019269	1	145807169	145837649	1
ENSBTAG00000039011	1	83104953	83111141	-1
ENSBTAG00000017666	1	83122147	83205242	1
ENSBTAG00000020404	1	145848081	145863601	-1
ENSBTAG00000020409	1	145865673	145881365	-1
ENSBTAG00000052825	1	83227750	83237050	1
ENSBTAG00000014460	1	83246423	83301299	1
ENSBTAG00000018936	1	145889102	145919613	-1
ENSBTAG00000014459	1	83304567	83311791	1
ENSBTAG00000019043	1	10656634	10691694	-1
ENSBTAG00000000605	1	10690694	10698960	1
ENSBTAG00000003148	1	145931228	145971979	-1
ENSBTAG00000014451	1	83313948	83416551	-1
ENSBTAG00000003161	1	145972840	145977560	1
ENSBTAG00000000603	1	10702387	10787934	-1
ENSBTAG00000021984	1	145988468	145994118	-1
ENSBTAG00000014449	1	83419537	83420366	1
ENSBTAG00000017450	1	83449266	83481681	-1
ENSBTAG00000037951	1	83545202	83598532	1
ENSBTAG00000019542	1	10823242	10849340	1
ENSBTAG00000030670	1	146001886	146105891	1
ENSBTAG00000011495	1	146121832	146241261	1
ENSBTAG00000038900	1	11580798	11581218	1
ENSBTAG00000010394	1	83653154	83911446	1
ENSBTAG00000032217	1	83710030	83711034	-1
ENSBTAG00000010397	1	83752076	83827942	-1
ENSBTAG00000006552	1	83922240	83951783	1
ENSBTAG00000006548	1	83960686	84019357	1
ENSBTAG00000004777	1	146272607	146280008	-1
ENSBTAG00000005503	1	146320299	146345063	1
ENSBTAG00000012797	1	84042262	84074786	1
ENSBTAG00000052513	1	146386643	146430178	-1
ENSBTAG00000003301	1	15324270	15556567	-1
ENSBTAG00000007039	1	146528127	146556177	1
ENSBTAG00000043957	1	146562507	146607459	-1
ENSBTAG00000052599	1	146703936	146704817	1
ENSBTAG00000053000	1	146744680	146745833	1
ENSBTAG00000000290	1	84108412	84205584	-1
ENSBTAG00000046447	1	146865776	146877553	1
ENSBTAG00000004742	1	146975141	147244722	-1
ENSBTAG00000053315	1	16129030	16129188	-1
ENSBTAG00000018682	1	148306238	148341194	-1
ENSBTAG00000023384	1	148346840	148357793	1
ENSBTAG00000052342	1	148359250	148405057	1
ENSBTAG00000030629	1	148405188	148407258	1
ENSBTAG00000018688	1	148440558	148450711	1
ENSBTAG00000053201	1	148460221	148508639	1
ENSBTAG00000014306	1	148516597	148594523	1
ENSBTAG00000000597	1	18567977	18710975	1
ENSBTAG00000011876	1	148604900	148639711	1
ENSBTAG00000011880	1	148657613	148683915	1
ENSBTAG00000000588	1	18712589	18736860	-1
ENSBTAG00000030585	1	148736485	148757447	-1
ENSBTAG00000001395	1	19227894	19256713	1
ENSBTAG00000021447	1	148972847	149039609	1
ENSBTAG00000018704	1	19417655	19437170	1
ENSBTAG00000004869	1	19437777	19502580	-1
ENSBTAG00000033679	1	149031196	149199816	-1
ENSBTAG00000051916	1	149259149	149269725	1
ENSBTAG00000055107	1	149301433	149317939	-1
ENSBTAG00000008167	1	149318018	149436586	1
ENSBTAG00000004791	1	149461702	149496009	-1
ENSBTAG00000019314	1	21167188	21328190	-1
ENSBTAG00000001771	1	149567810	149711585	1
ENSBTAG00000047293	1	22189815	22193285	1
ENSBTAG00000037616	1	149814196	150141048	-1
ENSBTAG00000000973	1	150591084	150595749	1
ENSBTAG00000002623	1	22617489	22675629	1
ENSBTAG00000012908	1	22783876	22794051	1
ENSBTAG00000011001	1	150668926	150803833	-1
ENSBTAG00000054574	1	22807642	22906567	-1
ENSBTAG00000009214	1	151161814	151181631	1
ENSBTAG00000034347	1	22948185	22967236	-1
ENSBTAG00000038512	1	22966535	22989880	1
ENSBTAG00000048954	1	23022840	23032284	1
ENSBTAG00000023513	1	86035467	86040735	1
ENSBTAG00000016457	1	86047794	86121242	-1
ENSBTAG00000046755	1	24414164	24482074	1
ENSBTAG00000020787	1	151476118	151562607	1
ENSBTAG00000012837	1	151565699	151680026	-1
ENSBTAG00000001969	1	86318896	86371093	1
ENSBTAG00000001968	1	86372984	86382674	-1
ENSBTAG00000010462	1	24870588	25065331	1
ENSBTAG00000049122	1	151788694	151939725	-1
ENSBTAG00000009851	1	26116520	26265576	-1
ENSBTAG00000013219	1	87028551	87382268	1
ENSBTAG00000005946	1	87355950	87482259	-1
ENSBTAG00000006479	1	152232655	152284372	1
ENSBTAG00000002463	1	87503557	87518661	-1
ENSBTAG00000002462	1	87518534	87536139	1
ENSBTAG00000023377	1	152286347	152366452	-1
ENSBTAG00000030592	1	152412955	152413176	1
ENSBTAG00000023375	1	152434570	152450925	-1
ENSBTAG00000019202	1	152450841	152463273	1
ENSBTAG00000051541	1	152483264	152508764	-1
ENSBTAG00000040193	1	152510195	152548791	-1
ENSBTAG00000002460	1	87536382	87567798	-1
ENSBTAG00000051036	1	28280840	28284623	-1
ENSBTAG00000002767	1	87648347	87716734	1
ENSBTAG00000010485	1	87721169	87765315	-1
ENSBTAG00000003718	1	152599803	152638556	-1
ENSBTAG00000008359	1	29058030	29062155	1
ENSBTAG00000050978	1	87723327	87724631	1
ENSBTAG00000037393	1	87780857	87785489	-1
