	expressedTissues	Ensembl Gene ID	affectedTissues	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	type	propOfExpressedAffectedByeQTL
0	23	ENSBTAG00000008414	2.0	20	41213852	41297142	1	ohno	0.08695652173913043
1	23	ENSBTAG00000006129	2.0	25	25087968	25327424	1	singleton	0.08695652173913043
2	23	ENSBTAG00000006086	3.0	19	14587761	14613432	1	SSD	0.13043478260869565
3	23	ENSBTAG00000055051	2.0	24	25141833	25187671	-1	SSD	0.08695652173913043
4	23	ENSBTAG00000032433	1.0	17	52750181	52762092	-1	SSD	0.043478260869565216
5	23	ENSBTAG00000001160	0.0	2	124758268	124785888	-1	ohno	0.0
6	23	ENSBTAG00000016139	2.0	25	34213516	34218982	-1	ohno	0.08695652173913043
7	23	ENSBTAG00000002835	3.0	17	12740787	12823604	-1	ohno	0.13043478260869565
8	23	ENSBTAG00000018970	0.0	23	17071458	17118839	-1	SSD	0.0
9	23	ENSBTAG00000051235	0.0	25	25837678	25838223	1	SSD	0.0
10	23	ENSBTAG00000003168	1.0	18	50440559	50474318	1	ohno	0.043478260869565216
11	23	ENSBTAG00000019177	1.0	2	5418420	5475051	1	ohno	0.043478260869565216
12	23	ENSBTAG00000010254	1.0	2	125921162	125934238	1	ohno	0.043478260869565216
13	23	ENSBTAG00000009251	2.0	2	135738977	135759581	-1	singleton	0.08695652173913043
14	23	ENSBTAG00000046837	5.0	7	16386268	16388881	1	SSD	0.21739130434782608
15	23	ENSBTAG00000034662	4.0	9	18251228	18252589	1	SSD	0.17391304347826086
16	23	ENSBTAG00000049036	2.0	13	74018502	74019935	-1	SSD	0.08695652173913043
17	23	ENSBTAG00000013761	1.0	2	127152813	127183806	1	SSD	0.043478260869565216
18	23	ENSBTAG00000008034	1.0	7	38829326	38849952	-1	ohno	0.043478260869565216
19	23	ENSBTAG00000008065	11.0	5	116513986	116522344	-1	singleton	0.4782608695652174
