	Ensembl Gene ID	affectedTissues	expressedTissues	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	propOfExpressedAffectedByeQTL	CNV
0	ENSG00000138593	24.0	48	15	49280673	49338760	-1	0.5	N
1	ENSG00000166157	1.0	3	21	10906201	11029719	-1	0.3333333333333333	Y
2	ENSG00000168675	10.0	47	18	13217497	13652754	1	0.2127659574468085	Y
3	ENSG00000188992	30.0	30	21	15481134	15583166	-1	1.0	N
4	ENSG00000185272	48.0	48	21	15588451	15600693	1	1.0	N
5	ENSG00000155304	23.0	48	21	15743436	15755805	-1	0.4791666666666667	N
6	ENSG00000197414	1.0	4	15	22736246	22746002	1	0.25	Y
7	ENSG00000166200	44.0	48	15	49398268	49447858	-1	0.9166666666666666	N
8	ENSG00000155307	4.0	48	21	15857549	15955723	-1	0.08333333333333333	N
9	ENSG00000243440	2.0	7	21	15964251	16031142	-1	0.2857142857142857	N
10	ENSG00000153575	48.0	48	15	22833395	22873892	1	1.0	Y
11	ENSG00000180530	12.0	48	21	16333556	16437321	-1	0.25	Y
12	ENSG00000137824	47.0	48	15	41028082	41048049	-1	0.9791666666666666	N
13	ENSG00000259458	1.0	4	15	62929371	62937490	-1	0.25	N
14	ENSG00000137880	3.0	48	15	41056218	41059906	1	0.0625	N
15	ENSG00000104129	48.0	48	15	41060067	41099675	-1	1.0	N
16	ENSG00000177150	43.0	48	18	13663346	13726662	-1	0.8958333333333334	Y
17	ENSG00000155313	9.0	48	21	17102344	17252377	1	0.1875	N
18	ENSG00000101638	40.0	48	18	44259081	44339220	-1	0.8333333333333334	Y
19	ENSG00000154639	18.0	45	21	18884700	18965897	1	0.4	Y
20	ENSG00000101654	47.0	48	18	13726659	13764557	1	0.9791666666666666	N
21	ENSG00000078043	47.0	48	18	44388353	44500123	-1	0.9791666666666666	Y
22	ENSG00000156958	42.0	48	15	49447853	49660066	1	0.875	Y
23	ENSG00000154640	12.0	48	21	18965971	18985265	-1	0.25	Y
24	ENSG00000140416	40.0	48	15	63334831	63364114	1	0.8333333333333334	N
25	ENSG00000154642	20.0	48	21	19161284	19191703	-1	0.4166666666666667	N
26	ENSG00000140577	47.0	48	15	91073157	91188577	1	0.9791666666666666	Y
27	ENSG00000166140	48.0	48	15	41099284	41106767	1	1.0	N
28	ENSG00000101138	48.0	48	20	54967427	54979518	1	1.0	N
29	ENSG00000154645	34.0	45	21	19273580	19639690	1	0.7555555555555555	Y
30	ENSG00000068793	48.0	48	15	22892005	23006016	1	1.0	Y
31	ENSG00000182931	22.0	22	20	44313292	44333658	-1	1.0	N
32	ENSG00000154646	1.0	2	21	19641433	19858197	-1	0.5	N
33	ENSG00000168634	10.0	11	20	44330655	44337456	1	0.9090909090909091	N
34	ENSG00000101365	48.0	48	20	2639041	2644865	-1	1.0	N
35	ENSG00000167216	48.0	48	18	44497455	44627658	1	1.0	Y
36	ENSG00000124116	48.0	48	20	44376583	44420571	-1	1.0	Y
37	ENSG00000087589	15.0	48	20	54987168	55034396	1	0.3125	Y
38	ENSG00000154654	38.0	47	21	22370633	22915650	1	0.8085106382978723	Y
39	ENSG00000166143	2.0	18	15	41107650	41120907	-1	0.1111111111111111	N
40	ENSG00000166262	48.0	48	15	49619159	49913128	-1	1.0	Y
41	ENSG00000176136	3.0	11	18	13824154	13826861	1	0.2727272727272727	N
42	ENSG00000185231	2.0	3	18	13882043	13915706	-1	0.6666666666666666	Y
43	ENSG00000103642	48.0	48	15	63413999	63434260	1	1.0	N
44	ENSG00000197299	11.0	48	15	91260558	91358859	1	0.22916666666666666	Y
45	ENSG00000154719	48.0	48	21	26957968	26979829	-1	1.0	N
46	ENSG00000175322	48.0	48	18	14057456	14132489	-1	1.0	N
47	ENSG00000101160	48.0	48	20	57570240	57582302	-1	1.0	N
48	ENSG00000022277	40.0	48	20	55043647	55093943	1	0.8333333333333334	N
49	ENSG00000166145	27.0	48	15	41136216	41150405	1	0.5625	N
50	ENSG00000088881	37.0	48	20	2673524	2740753	1	0.7708333333333334	N
51	ENSG00000101162	36.0	48	20	57594309	57601709	1	0.75	N
52	ENSG00000140285	40.0	40	15	49715293	49780972	1	1.0	N
53	ENSG00000101457	48.0	48	20	44420576	44440066	1	1.0	N
54	ENSG00000154721	24.0	48	21	27011584	27089874	1	0.5	Y
55	ENSG00000124172	24.0	48	20	57600522	57607437	-1	0.5	N
56	ENSG00000185088	48.0	48	15	63418071	63450220	-1	1.0	Y
57	ENSG00000206181	5.0	6	18	44558943	44561988	-1	0.8333333333333334	Y
58	ENSG00000170122	48.0	48	9	116237	118417	-1	1.0	Y
59	ENSG00000166128	23.0	48	15	63481668	63559981	1	0.4791666666666667	N
60	ENSG00000175063	3.0	48	20	44441215	44445596	1	0.0625	N
61	ENSG00000124091	3.0	44	20	55066548	55100981	-1	0.06818181818181818	N
62	ENSG00000101166	48.0	48	20	57608200	57617964	-1	1.0	N
63	ENSG00000167220	47.0	48	18	44633774	44676891	-1	0.9791666666666666	Y
64	ENSG00000154723	28.0	48	21	27088815	27107984	-1	0.5833333333333334	N
65	ENSG00000171448	26.0	48	9	125677845	125693779	-1	0.5416666666666666	N
66	ENSG00000124103	40.0	42	20	55092243	55101198	1	0.9523809523809523	N
67	ENSG00000104047	47.0	48	15	49913177	49937333	1	0.9791666666666666	N
68	ENSG00000088882	45.0	48	20	2774715	2781283	-1	0.9375	N
69	ENSG00000213714	47.0	48	20	55108302	55111576	1	0.9791666666666666	Y
70	ENSG00000104140	10.0	48	15	41164412	41166487	-1	0.20833333333333334	N
71	ENSG00000140564	34.0	48	15	91411822	91426688	1	0.7083333333333334	Y
72	ENSG00000140157	48.0	48	15	23004684	23034427	-1	1.0	Y
73	ENSG00000154727	7.0	48	21	27106881	27144771	1	0.14583333333333334	N
74	ENSG00000087510	18.0	45	20	55204358	55214339	1	0.4	N
75	ENSG00000124203	4.0	44	20	57766075	57834168	1	0.09090909090909091	Y
76	ENSG00000101470	16.0	48	20	44451853	44462384	-1	0.3333333333333333	N
77	ENSG00000104142	5.0	48	15	41186628	41196173	1	0.10416666666666667	N
78	ENSG00000138613	47.0	48	15	63568217	63601325	1	0.9791666666666666	N
79	ENSG00000011454	48.0	48	9	125703112	125867145	1	1.0	N
80	ENSG00000134049	33.0	48	18	44681413	44702745	-1	0.6875	Y
81	ENSG00000124205	11.0	41	20	57875482	57901047	1	0.2682926829268293	N
82	ENSG00000180777	24.0	24	18	14728271	14852737	1	1.0	Y
83	ENSG00000101144	26.0	44	20	55743804	55841685	-1	0.5909090909090909	Y
84	ENSG00000215474	2.0	5	18	44746293	44775554	-1	0.4	Y
85	ENSG00000258713	5.0	6	20	2795633	2796479	1	0.8333333333333334	N
86	ENSG00000188394	3.0	42	9	125796806	125797975	1	0.07142857142857142	N
87	ENSG00000172785	48.0	48	9	121041	188979	-1	1.0	Y
88	ENSG00000132635	15.0	48	20	2815960	2821836	-1	0.3125	N
89	ENSG00000175387	47.0	48	18	45357922	45457515	-1	0.9791666666666666	Y
90	ENSG00000104043	48.0	48	15	50150435	50475014	-1	1.0	Y
91	ENSG00000165209	8.0	48	9	125871779	126030855	-1	0.16666666666666666	Y
92	ENSG00000182511	48.0	48	15	91426925	91439006	1	1.0	N
93	ENSG00000170113	48.0	48	15	23043277	23100005	-1	1.0	Y
94	ENSG00000074410	31.0	48	15	63613577	63674360	-1	0.6458333333333334	N
95	ENSG00000087495	17.0	46	20	58152564	58422766	1	0.3695652173913043	Y
96	ENSG00000183784	42.0	42	9	213108	215893	-1	1.0	Y
97	ENSG00000067900	25.0	48	18	18526867	18691812	-1	0.5208333333333334	N
98	ENSG00000128965	8.0	48	15	41245160	41248710	1	0.16666666666666666	N
99	ENSG00000124104	48.0	48	20	44462449	44471914	1	1.0	N
100	ENSG00000148204	17.0	36	9	126118449	126142603	1	0.4722222222222222	N
101	ENSG00000101146	17.0	48	20	55926066	55954267	1	0.3541666666666667	N
102	ENSG00000215305	48.0	48	20	2821349	2847378	1	1.0	N
103	ENSG00000153666	43.0	43	15	23255242	23268823	1	1.0	Y
104	ENSG00000142192	17.0	48	21	27252861	27543446	-1	0.3541666666666667	Y
105	ENSG00000101473	45.0	48	20	44470360	44486045	-1	0.9375	N
106	ENSG00000128908	4.0	48	15	41271078	41408552	-1	0.08333333333333333	N
107	ENSG00000140284	43.0	45	15	50474393	50528592	1	0.9555555555555556	N
108	ENSG00000198033	12.0	15	13	19747910	19755992	-1	0.8	Y
109	ENSG00000256222	1.0	16	20	55933496	55934878	-1	0.0625	N
110	ENSG00000132819	20.0	48	20	55966463	55984389	1	0.4166666666666667	N
111	ENSG00000107099	48.0	48	9	214854	465259	1	1.0	Y
112	ENSG00000119522	46.0	48	9	126141933	126692431	-1	0.9583333333333334	Y
113	ENSG00000141449	1.0	46	18	18822203	19105378	1	0.021739130434782608	Y
114	ENSG00000166265	44.0	47	21	27838528	27945603	-1	0.9361702127659575	N
115	ENSG00000196074	18.0	48	20	58438618	58508710	-1	0.375	N
116	ENSG00000140287	15.0	46	15	50534144	50558223	-1	0.32608695652173914	N
117	ENSG00000132958	39.0	41	13	19997017	20110903	-1	0.9512195121951219	Y
118	ENSG00000140455	47.0	48	15	63796793	63886839	1	0.9791666666666666	N
119	ENSG00000184828	14.0	46	18	45553044	45937123	-1	0.30434782608695654	Y
120	ENSG00000154734	12.0	48	21	28208066	28217728	-1	0.25	N
121	ENSG00000106689	1.0	29	9	126763949	126795580	1	0.034482758620689655	Y
122	ENSG00000259455	3.0	3	15	23405069	23414193	-1	1.0	Y
123	ENSG00000154736	27.0	46	21	28290231	28338832	-1	0.5869565217391305	Y
124	ENSG00000261739	4.0	4	15	23599895	23612378	1	1.0	Y
125	ENSG00000196199	48.0	48	13	20207788	20247599	1	1.0	Y
126	ENSG00000178997	5.0	10	15	41474923	41522941	-1	0.5	N
127	ENSG00000156239	48.0	48	21	30244513	30257693	-1	1.0	N
128	ENSG00000196547	48.0	48	15	91445448	91465814	1	1.0	N
129	ENSG00000107104	46.0	48	9	470291	746105	1	0.9583333333333334	Y
130	ENSG00000121390	43.0	48	13	20248896	20357142	-1	0.8958333333333334	Y
131	ENSG00000174450	1.0	2	15	23684645	23692381	-1	0.5	Y
132	ENSG00000269591	3.0	37	13	20268547	20269240	1	0.08108108108108109	Y
133	ENSG00000119408	25.0	48	9	127019885	127115586	1	0.5208333333333334	Y
134	ENSG00000137090	1.0	3	9	841690	969090	1	0.3333333333333333	Y
135	ENSG00000104064	7.0	48	15	50569389	50647605	-1	0.14583333333333334	Y
136	ENSG00000179455	1.0	45	15	23810454	23873064	1	0.022222222222222223	N
137	ENSG00000134030	48.0	48	18	46065417	46389588	1	1.0	Y
138	ENSG00000064218	20.0	26	9	976964	991731	1	0.7692307692307693	N
139	ENSG00000132950	48.0	48	13	20397622	20437776	-1	1.0	N
140	ENSG00000128322	3.0	14	22	23915312	23922495	-1	0.21428571428571427	Y
141	ENSG00000198862	45.0	48	21	30300466	30365270	-1	0.9375	N
142	ENSG00000182636	46.0	48	15	23930565	23932450	-1	0.9583333333333334	N
143	ENSG00000136930	48.0	48	9	127115745	127177723	-1	1.0	N
144	ENSG00000185823	20.0	21	15	24920541	24928593	1	0.9523809523809523	N
145	ENSG00000173253	37.0	41	9	1050354	1057552	1	0.9024390243902439	N
146	ENSG00000168612	25.0	48	20	44509866	44513905	1	0.5208333333333334	N
147	ENSG00000187446	48.0	48	15	41523037	41574043	1	1.0	N
148	ENSG00000149634	47.0	48	20	44515128	44516274	-1	0.9791666666666666	N
149	ENSG00000124257	47.0	48	20	44517264	44519926	-1	0.9791666666666666	N
150	ENSG00000180264	10.0	17	9	127213423	127239379	1	0.5882352941176471	N
151	ENSG00000104147	44.0	48	15	41601466	41624819	-1	0.9166666666666666	Y
152	ENSG00000189269	47.0	48	22	23950639	23974508	-1	0.9791666666666666	Y
153	ENSG00000156253	48.0	48	21	30376705	30391699	-1	1.0	N
