Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,gene,chr,start,end,gene_symbol,mean_rd,gc_content,complexity,cds_len,gene_length,num_targ,segdups,dip,del,dup,del.sing,dup.sing,del.sing.score,dup.sing.score,del.score,dup.score,cnv.score,flag,CNV,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000166140,36.0,48,15,41099284,41106767,1,ENSG00000166140.13,15,41099284,41106767,ZFYVE19,60.793355017238206,0.581331073323347,137.538461538462,1788,7483,13,0,59086,0,1,0,1,0.434465375338936,-0.26950847720612603,0.601464622304946,0.597067355548219,0.7682071138888601,0,Y,0.75,Y
ENSG00000124116,47.0,48,20,44376583,44420571,-1,ENSG00000124116.14,20,44376583,44420571,WFDC3,103.64929034225099,0.547174324402931,122.0,732,43988,6,0,58759,12,6,1,4,-0.3639218504201061,-2.06808397327289,-2.62354415217069,-0.5786724656899449,-1.5524979061188102,0,Y,0.9791666666666666,Y
ENSG00000166262,15.0,48,15,49619159,49913128,-1,ENSG00000166262.11,15,49619159,49913128,FAM227B,73.6705007813094,0.3822628866370421,116.066666666667,1741,293969,15,0,58958,12,6,3,0,-1.29388073559919,1.20826206211503,-2.62354415217069,-0.4935071703102671,-1.4024410869557198,0,Y,0.3125,N
ENSG00000103642,24.0,48,15,63413999,63434260,1,ENSG00000103642.7,15,63413999,63434260,LACTB,70.54612668648491,0.412997365282674,263.8,1319,20261,5,0,58967,0,2,0,0,0.154986733536177,0.185724455734914,0.495752742817211,0.08678833248754697,0.33895031650195195,0,Y,0.5,Y
ENSG00000154719,28.0,48,21,26957968,26979829,-1,ENSG00000154719.9,21,26957968,26979829,MRPL39,79.7517337146321,0.427611272529784,106.545454545455,1172,21861,11,0,59043,3,3,2,2,-1.0314740884107,-0.773862914083693,-0.555785287778359,0.110994408388098,-0.126745401583476,0,Y,0.5833333333333334,Y
ENSG00000175322,36.0,48,18,14057456,14132489,-1,ENSG00000175322.7,18,14057456,14132489,ZNF519,116.32257565363301,0.40822885572139295,547.0,1641,75033,3,0,58996,18,13,16,7,-2.84641464131682,-2.87279498102368,-2.62354415217069,-1.7536603727349902,-2.44537580035802,0,Y,0.75,Y
ENSG00000101457,30.0,48,20,44420576,44440066,1,ENSG00000101457.8,20,44420576,44440066,DNTTIP1,79.84667626629249,0.557459575793051,83.1428571428571,1164,19490,14,0,58949,13,2,0,0,0.7456330652277858,0.7957357132434151,-2.62354415217069,0.46241438666275,-1.23223106248495,0,Y,0.625,Y
ENSG00000182511,14.0,48,15,91426925,91439006,1,ENSG00000182511.7,15,91426925,91439006,FES,85.4858827396724,0.612115519484042,164.411764705882,2795,12081,17,1,58958,2,4,0,1,1.06808434331674,0.27651608867348904,0.32375848556813003,0.31636094252627506,0.348520682876764,1,Y,0.2916666666666667,N
ENSG00000196199,20.0,48,13,20207788,20247599,1,ENSG00000196199.9,13,20207788,20247599,MPHOSPH8,82.9942614174637,0.437274284065348,191.785714285714,2685,39811,14,2,58939,0,57,0,4,1.05232082609082,-1.5349359174333,1.6363365176736298,-2.53125239294469,-2.47162789907313,1,Y,0.4166666666666667,Y
ENSG00000156239,20.0,48,21,30244513,30257693,-1,ENSG00000156239.7,21,30244513,30257693,N6AMT1,89.071649682712,0.476902647154333,113.5,681,13180,6,0,59214,1,8,0,5,0.393317621270577,-2.66048828397556,0.16540802678962,-1.0600295789492902,-0.7184703374185669,0,Y,0.4166666666666667,Y
ENSG00000156253,33.0,48,21,30376705,30391699,-1,ENSG00000156253.2,21,30376705,30391699,RWDD2B,68.0368529327688,0.455413053231235,198.0,990,14994,5,0,59021,0,2,0,0,0.0753360811448,0.136558918973129,0.4227526272582861,0.0661629900031456,0.29067444468249704,0,Y,0.6875,Y
ENSG00000137804,21.0,48,15,41624892,41673248,1,ENSG00000137804.8,15,41624892,41673248,NUSAP1,40.0143825748916,0.442506373471621,123.545454545455,1359,48356,11,0,58896,1,1,1,0,-0.703007170120783,0.35514745749356,-0.0899542505553124,0.447104073774416,0.32793469381779605,0,Y,0.4375,Y
ENSG00000128218,21.0,45,22,24094930,24096655,-1,ENSG00000128218.7,22,24094930,24096655,VPREB3,41.6722460982142,0.6259740259740261,192.0,384,1725,2,5,58875,0,14,0,0,0.378783810054059,0.424433310850824,2.1719801281139497,-0.276553449993883,0.162196302908318,1,Y,0.4666666666666667,Y
