Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,type,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000166140,36.0,48,15,41099284,41106767,1,singleton,0.75,Y
ENSG00000068793,15.0,48,15,22892005,23006016,1,SSD,0.3125,N
ENSG00000167216,17.0,48,18,44497455,44627658,1,SSD,0.3541666666666667,Y
ENSG00000124116,47.0,48,20,44376583,44420571,-1,singleton,0.9791666666666666,Y
ENSG00000166262,15.0,48,15,49619159,49913128,-1,SSD,0.3125,N
ENSG00000103642,24.0,48,15,63413999,63434260,1,singleton,0.5,Y
ENSG00000154719,28.0,48,21,26957968,26979829,-1,SSD,0.5833333333333334,Y
ENSG00000175322,36.0,48,18,14057456,14132489,-1,SSD,0.75,Y
ENSG00000101457,30.0,48,20,44420576,44440066,1,singleton,0.625,Y
ENSG00000170122,34.0,48,9,116237,118417,-1,SSD,0.7083333333333334,Y
ENSG00000172785,46.0,48,9,121041,188979,-1,SSD,0.9583333333333334,Y
ENSG00000182511,14.0,48,15,91426925,91439006,1,ohno,0.2916666666666667,N
ENSG00000170113,26.0,48,15,23043277,23100005,-1,ohno,0.5416666666666666,Y
ENSG00000153666,23.0,43,15,23255242,23268823,1,SSD,0.5348837209302325,Y
ENSG00000107099,25.0,48,9,214854,465259,1,ohno,0.5208333333333334,Y
ENSG00000196199,20.0,48,13,20207788,20247599,1,singleton,0.4166666666666667,Y
ENSG00000156239,20.0,48,21,30244513,30257693,-1,singleton,0.4166666666666667,Y
ENSG00000189269,43.0,48,22,23950639,23974508,-1,singleton,0.8958333333333334,Y
ENSG00000156253,33.0,48,21,30376705,30391699,-1,SSD,0.6875,Y
ENSG00000137804,21.0,48,15,41624892,41673248,1,singleton,0.4375,Y
ENSG00000128218,21.0,45,22,24094930,24096655,-1,SSD,0.4666666666666667,Y
ENSG00000179242,16.0,47,20,59827482,60515673,1,ohno,0.3404255319148936,N
ENSG00000165474,15.0,48,13,20761609,20767037,-1,SSD,0.3125,N
ENSG00000140553,15.0,48,15,91473410,91497323,1,ohno,0.3125,N
ENSG00000102309,34.0,48,X,71401203,71522776,1,singleton,0.7083333333333334,Y
ENSG00000156261,29.0,48,21,30428126,30446118,-1,SSD,0.6041666666666666,Y
ENSG00000147852,14.0,48,9,2621834,2660053,1,ohno,0.2916666666666667,N
ENSG00000165475,15.0,48,13,20977806,21099996,-1,singleton,0.3125,N
ENSG00000035664,14.0,48,15,64199235,64364232,-1,ohno,0.2916666666666667,N
ENSG00000137806,34.0,48,15,41679551,41694717,-1,singleton,0.7083333333333334,Y
ENSG00000099956,27.0,48,22,24129150,24176703,1,singleton,0.5625,Y
ENSG00000125901,18.0,48,20,3026591,3028900,1,singleton,0.375,Y
ENSG00000032742,29.0,48,13,21140585,21265503,1,singleton,0.6041666666666666,Y
ENSG00000133460,35.0,48,22,24198890,24228496,1,ohno,0.7291666666666666,Y
ENSG00000100979,22.0,48,20,44527399,44540794,-1,ohno,0.4583333333333333,Y
ENSG00000185019,19.0,48,20,3088219,3140842,-1,singleton,0.3958333333333333,Y
ENSG00000240972,38.0,48,22,24236191,24237414,1,singleton,0.7916666666666666,Y
ENSG00000218537,47.0,48,22,24236613,24241117,-1,singleton,0.9791666666666666,Y
ENSG00000133433,46.0,46,22,24299601,24303373,-1,SSD,1.0,Y
ENSG00000088899,14.0,48,20,3143263,3154192,-1,ohno,0.2916666666666667,N
ENSG00000099974,28.0,48,22,24309089,24314721,1,SSD,0.5833333333333334,Y
ENSG00000198171,17.0,48,20,3170996,3185331,-1,singleton,0.3541666666666667,N
ENSG00000099977,35.0,48,22,24313554,24322660,-1,SSD,0.7291666666666666,Y
ENSG00000099984,47.0,47,22,24322339,24326106,1,SSD,1.0,Y
ENSG00000125877,45.0,48,20,3189514,3204516,1,singleton,0.9375,Y
ENSG00000106688,20.0,47,9,4490444,4587469,1,ohno,0.425531914893617,Y
ENSG00000184674,48.0,48,22,24376133,24384680,-1,SSD,1.0,Y
ENSG00000138600,26.0,48,15,50999506,51058005,-1,ohno,0.5416666666666666,Y
ENSG00000167702,28.0,48,8,145691426,145699585,1,ohno,0.5833333333333334,Y
ENSG00000166965,37.0,48,15,91498100,91506349,1,SSD,0.7708333333333334,Y
ENSG00000103932,41.0,48,15,41809374,41836467,-1,singleton,0.8541666666666666,Y
ENSG00000124164,31.0,48,20,56964178,57026157,1,ohno,0.6458333333333334,Y
ENSG00000101181,30.0,48,20,60758085,60778624,1,SSD,0.625,Y
ENSG00000106686,29.0,48,9,4553386,4666674,-1,ohno,0.6041666666666666,Y
ENSG00000164144,33.0,48,4,153701089,153839615,1,ohno,0.6875,Y
ENSG00000182378,44.0,48,X,192989,220023,1,ohno,0.9166666666666666,Y
ENSG00000099994,25.0,48,22,24577227,24585078,1,SSD,0.5208333333333334,Y
ENSG00000178605,32.0,48,X,220025,230886,-1,singleton,0.6666666666666666,Y
ENSG00000147853,20.0,48,9,4711155,4742043,-1,ohno,0.4166666666666667,N
ENSG00000197465,14.0,48,4,144792020,144826716,-1,SSD,0.2916666666666667,N
ENSG00000167393,17.0,48,X,294698,347690,-1,ohno,0.3541666666666667,N
ENSG00000166206,21.0,46,15,26788693,27184686,-1,ohno,0.4565217391304348,Y
ENSG00000146540,18.0,48,7,1036622,1177896,-1,singleton,0.375,N
ENSG00000184056,15.0,48,15,91541646,91565833,-1,SSD,0.3125,N
ENSG00000109654,16.0,48,4,154073494,154260472,1,ohno,0.3333333333333333,N
ENSG00000168028,34.0,48,3,39448180,39454033,1,SSD,0.7083333333333334,Y
ENSG00000027001,25.0,48,13,24304328,24463558,-1,singleton,0.5208333333333334,Y
ENSG00000103671,30.0,48,15,64679947,64747502,1,singleton,0.625,Y
ENSG00000178381,35.0,48,7,1191707,1200395,-1,SSD,0.7291666666666666,Y
ENSG00000164124,26.0,48,4,159122756,159176563,1,singleton,0.5416666666666666,Y
ENSG00000157103,23.0,46,3,11034410,11080933,1,SSD,0.5,Y
ENSG00000100024,18.0,47,22,24863206,24924358,1,singleton,0.3829787234042553,Y
ENSG00000186417,15.0,47,15,51633826,51700210,1,ohno,0.3191489361702128,N
ENSG00000151552,20.0,48,4,17461884,17513857,-1,singleton,0.4166666666666667,Y
ENSG00000107020,27.0,48,9,5357973,5437878,-1,singleton,0.5625,Y
ENSG00000215440,20.0,48,20,57264187,57294294,1,SSD,0.4166666666666667,N
ENSG00000142207,25.0,48,21,33683329,33765335,-1,singleton,0.5208333333333334,Y
ENSG00000197646,28.0,48,9,5510545,5571282,1,SSD,0.5833333333333334,Y
ENSG00000129055,41.0,48,3,134196548,134205558,-1,singleton,0.8541666666666666,Y
ENSG00000154328,27.0,48,8,11627148,11644855,1,SSD,0.5625,Y
ENSG00000119715,16.0,43,14,76776957,76968178,1,ohno,0.372093023255814,N
ENSG00000256073,22.0,48,21,33765439,33766254,1,singleton,0.4583333333333333,Y
ENSG00000240654,23.0,42,13,24881304,24896673,1,ohno,0.5476190476190477,N
ENSG00000092108,16.0,48,14,31091318,31205018,1,singleton,0.3333333333333333,Y
ENSG00000169100,17.0,48,X,1505045,1511617,-1,SSD,0.3541666666666667,N
