chr	start	end	state	id	type	num_variants	num_samples	num_samples_multicounted	num_studies	variants	samples	studies	African	Asian	European	Mexican	Middle_East	Native_American	Oceania	South_American
chr1	10001	177368	CNV	CNVR1	Gain	49	47	2	2	essv75141,essv63480,essv65410,essv33662,essv36301,essv45662,essv66858,essv83994,essv57788,nssv14768,nssv14790,nssv14784,essv68486,essv42378,essv43633,essv44330,essv55201,essv47291,essv53480,essv59014,nssv14781,essv61349,essv75636,essv78929,essv36569,essv48828,essv82243,essv77852,essv56500,nssv14788,nssv14770,nssv18113,nssv14771,nssv18117,nssv14780,nssv14789,nssv18103,essv76745,nssv14776,nssv14766,nssv14775,nssv14791,essv34520,essv52357,essv60177,nssv14762,essv49960,nssv14772,nssv14785	NA07037,NA18980,NA12828,NA18523,NA11894,NA19221,NA19147,NA18552,NA12489,NA18860,NA12155,NA18909,NA18907,NA12749,NA19132,NA18517,NA18508,NA12872,NA18511,NA19114,NA19190,NA12802,NA18504,NA07029,NA15510,NA18537,NA10863,NA19144,NA11993,NA12239,NA19173,NA06985,NA19240,NA18858,NA12004,NA12414,NA12006,NA18972,NA18853,NA18975,NA18502,NA19108,NA19099,NA18505,NA18861,NA19129,NA12776	Perry2008,Conrad2009	26	5	17	0	0	0	0	0
chr1	317770	471368	CNV	CNVR2	Gain	12	9	0	5	essv60536,nssv547887,nssv547888,nssv547890,nssv463225,nssv463226,essv40687,nssv463223,essv72246,essv3586709,essv52394,nssv24614	NA12156,NA18555,NA12006,NA19225,NA18523,HuRef,NA18972,NA12878,NA19240	Pang2010,Conrad2009,Alkan2009,Cooper2008,Perry2008	3	2	4	0	0	0	0	0
chr1	521413	1708649	CNV	CNVR3	Gain	78	52	18	10	nssv547897,nssv547898,nssv547899,essv60486,essv49251,nssv463227,nssv463228,essv72287,nssv1419880,essv57524,essv39034,essv56022,essv66578,essv76336,essv76584,essv69512,essv79193,essv78333,essv65388,essv70548,essv43148,nssv18108,nssv1440110,nssv1423928,nssv1431930,nssv1437923,nssv26892,essv70296,nssv21431,nssv24621,nssv1423341,nssv1440790,essv3586245,essv44855,essv67101,essv41179,essv55845,essv33282,essv34833,essv3586664,essv36026,essv37967,essv43569,essv45621,essv47880,essv50641,essv52757,essv59557,essv68366,essv71219,essv72970,essv78447,essv79482,essv81648,essv76157,essv55633,essv59316,essv65289,essv77145,nssv585600,essv39735,essv3586753,essv52557,nssv558518,nssv1440791,essv66969,nssv1423939,nssv1436322,nssv1435646,nssv1439447,nssv1616835,nssv1616946,nssv1617057,nssv1617168,nssv1617279,nssv1617358,nssv558529,nssv1438578	NA18564,NA10851,NA18566,NA07037,NA12828,NA19225,NA18523,NA18542,NA19221,NA19147,NA07056,NA12489,NA18947,NA18968,NA12156,NA18909,NA18907,NA12749,HuRef,NA18517,NA18508,NA12872,NA18511,NA19257,NA12287,NA19114,NA18572,NA18969,NA18537,NA11993,NA18951,KB1,NA06985,NA19129,NA18858,NA18994,NA12414,NA12044,NA18582,NA18972,NA18916,NA18502,NA18973,NA19204,NA19205,NA19108,NA19099,NA18505,NA18861,NA19240,NA12776,NA12006	McCarroll2008,Pang2010,Ju2010,Park2010,Cooper2008,Kidd2010b,Perry2008,Conrad2009,Schuster2010,Alkan2009	32	17	25	0	0	0	0	0
chr1	2052961	2055810	CNV	CNVR4	Gain	7	7	0	2	essv54090,essv66385,essv3586410,essv50820,essv78063,essv58106,essv44405	NA11931,HuRef,NA12489,NA19108,NA18508,NA06985,NA19240	Pang2010,Conrad2009	3	0	4	0	0	0	0	0
chr1	2566259	2634182	CNV	CNVR5	Gain	15	15	0	2	essv47280,essv43577,essv53641,essv44606,essv68066,essv35932,nssv1420513,essv34942,essv72764,essv82638,essv62441,essv52698,essv58422,essv60000,essv54557	NA18858,NA10851,NA19190,NA18523,NA18909,NA18907,NA15510,NA12006,NA18502,NA12489,NA19108,NA19099,NA19225,NA18861,NA18508	Ju2010,Conrad2009	11	0	3	0	0	0	0	0
chr1	2684255	2695595	CNV	CNVR6	Gain	12	12	0	2	essv34469,nssv1420624,essv44540,essv47528,essv68175,essv54749,essv35871,essv48368,essv53318,essv83495,essv72776,essv43915	NA18858,NA10851,NA19190,NA07037,NA18909,NA18907,NA18502,NA12489,NA19099,NA19225,NA18861,NA18508	Ju2010,Conrad2009	9	0	3	0	0	0	0	0
chr1	6476628	6524490	CNV	CNVR7	Gain	4	4	0	3	essv71508,nssv558540,nssv1440795,nssv1440112	NA18564,NA18969,KB1,NA18916	Park2010,Conrad2009,Schuster2010	2	2	0	0	0	0	0	0
chr1	7568485	7571753	CNV	CNVR8	Gain	31	31	0	3	nssv26894,essv33020,essv79623,essv35948,essv81734,essv43325,essv65807,essv38793,essv58071,essv76994,essv54200,essv67734,essv72605,essv47411,essv41815,essv39096,essv74521,essv78242,essv83364,essv44968,essv66549,essv51190,essv59985,essv63297,essv71129,essv74139,essv50002,essv55223,essv52383,nssv1440797,nssv1423352	NA12828,NA19225,NA18523,NA19147,NA12489,NA18860,NA18968,NA12156,NA18909,NA18907,NA12749,NA18517,NA18511,NA19257,NA12287,NA19114,NA11931,NA19190,NA18969,NA15510,NA06985,NA19240,NA18858,NA12004,NA18916,NA12006,NA19108,NA19099,NA18505,NA18861,NA18508	Perry2008,Conrad2009,Park2010	19	2	9	0	0	0	0	0
chr1	8671390	8674276	CNV	CNVR9	Gain	3	3	0	2	nssv1423363,essv62535,essv47988	NA18968,NA15510,NA18861	Park2010,Conrad2009	1	1	0	0	0	0	0	0
chr1	8715188	8720239	CNV	CNVR10	Gain	3	3	0	2	essv46954,essv63342,nssv1423374	NA18968,NA15510,NA18861	Park2010,Conrad2009	1	1	0	0	0	0	0	0
