Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,gene,chr,start,end,gene_symbol,mean_rd,gc_content,complexity,cds_len,gene_length,num_targ,segdups,dip,del,dup,del.sing,dup.sing,del.sing.score,dup.sing.score,del.score,dup.score,cnv.score,flag,CNV,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000185272,48.0,48,21,15588451,15600693,1,ENSG00000185272.9,21,15588451,15600693,RBM11,59.9263138863478,0.432304389590869,172.2,861,12242,5,1,58951,0,9,0,0,0.187193652146886,0.26613788627386,0.7287718138636249,-1.1830836124047,-0.702303050017737,1,Y,1.0,N
ENSG00000166200,44.0,48,15,49398268,49447858,-1,ENSG00000166200.10,15,49398268,49447858,COPS2,73.31158001899759,0.3670276186520711,109.92307692307699,1429,49590,13,0,58998,0,0,0,0,0.88822477329115,0.8987262367063721,0.989254495136164,1.16737759730997,1.4074636442099,0,N,0.9166666666666666,N
ENSG00000137824,47.0,48,15,41028082,41048049,-1,ENSG00000137824.11,15,41028082,41048049,RMDN3,99.6244767131651,0.542970969341456,138.333333333333,1660,19967,12,0,58886,3,2,3,0,-1.59058512416317,0.77626989814144,-0.42109653629308,0.534327710107141,0.19230745843701705,0,Y,0.9791666666666666,N
ENSG00000104129,48.0,48,15,41060067,41099675,-1,ENSG00000104129.5,15,41060067,41099675,DNAJC17,77.33060610125,0.5655373439415791,110.692307692308,1439,39608,13,0,59020,0,3,0,0,0.6482612516324361,0.707248735561163,0.7799568126562941,0.11076073427716697,0.41801431680139706,0,Y,1.0,Y
ENSG00000177150,43.0,48,18,13663346,13726662,-1,ENSG00000177150.8,18,13663346,13726662,FAM210A,87.27087687704879,0.4381611496604171,279.0,837,63316,3,1,59160,1,4,0,0,0.344554064639138,0.375130173309709,0.36453591468550506,-0.11049495265894,0.0693476075510591,1,Y,0.8958333333333334,N
ENSG00000101654,47.0,48,18,13726659,13764557,1,ENSG00000101654.13,18,13726659,13764557,RNMT,69.9134418734279,0.38226080244823,151.1,1511,37898,10,0,59113,1,5,0,0,0.5905558154163429,0.610616498111177,0.24894999847780205,-0.455802444893434,-0.207786879830666,0,Y,0.9791666666666666,Y
ENSG00000078043,47.0,48,18,44388353,44500123,-1,ENSG00000078043.11,18,44388353,44500123,PIAS2,86.56218401881641,0.4121544393669001,143.785714285714,2013,111770,14,0,58596,0,56,0,2,0.952193631503146,-0.4908309186816429,1.02906196016609,-2.53125239294469,-2.47162789907313,0,Y,0.9791666666666666,Y
ENSG00000140577,47.0,48,15,91073157,91188577,1,ENSG00000140577.11,15,91073157,91188577,CRTC3,95.96398518370279,0.5462346162305279,130.0,1950,115420,15,1,58834,1,1,1,0,0.20979399780333,1.1611559268603,0.842778308090308,1.20198428986525,1.22273368550894,0,Y,0.9791666666666666,N
ENSG00000166140,48.0,48,15,41099284,41106767,1,ENSG00000166140.13,15,41099284,41106767,ZFYVE19,60.793355017238206,0.581331073323347,137.538461538462,1788,7483,13,0,59086,0,1,0,1,0.434465375338936,-0.26950847720612603,0.601464622304946,0.597067355548219,0.7682071138888601,0,Y,1.0,Y
ENSG00000101138,48.0,48,20,54967427,54979518,1,ENSG00000101138.7,20,54967427,54979518,CSTF1,104.600478190029,0.471931591661935,265.2,1326,12091,5,0,59140,0,0,0,0,0.431957044556128,0.375311285260907,0.7970054998258922,1.0318129156979,1.22393378370415,0,N,1.0,Y
ENSG00000101365,48.0,48,20,2639041,2644865,-1,ENSG00000101365.16,20,2639041,2644865,IDH3B,113.60100230434901,0.556233741710263,107.07692307692301,1392,5824,13,0,58762,10,31,10,27,-2.84641464131682,-2.87279498102368,-2.1610682395625003,-2.53125239294469,-2.47162789907313,0,Y,1.0,Y
ENSG00000124116,48.0,48,20,44376583,44420571,-1,ENSG00000124116.14,20,44376583,44420571,WFDC3,103.64929034225099,0.547174324402931,122.0,732,43988,6,0,58759,12,6,1,4,-0.3639218504201061,-2.06808397327289,-2.62354415217069,-0.5786724656899449,-1.5524979061188102,0,Y,1.0,Y
ENSG00000166262,48.0,48,15,49619159,49913128,-1,ENSG00000166262.11,15,49619159,49913128,FAM227B,73.6705007813094,0.3822628866370421,116.066666666667,1741,293969,15,0,58958,12,6,3,0,-1.29388073559919,1.20826206211503,-2.62354415217069,-0.4935071703102671,-1.4024410869557198,0,Y,1.0,Y
ENSG00000103642,48.0,48,15,63413999,63434260,1,ENSG00000103642.7,15,63413999,63434260,LACTB,70.54612668648491,0.412997365282674,263.8,1319,20261,5,0,58967,0,2,0,0,0.154986733536177,0.185724455734914,0.495752742817211,0.08678833248754697,0.33895031650195195,0,Y,1.0,N
ENSG00000154719,48.0,48,21,26957968,26979829,-1,ENSG00000154719.9,21,26957968,26979829,MRPL39,79.7517337146321,0.427611272529784,106.545454545455,1172,21861,11,0,59043,3,3,2,2,-1.0314740884107,-0.773862914083693,-0.555785287778359,0.110994408388098,-0.126745401583476,0,Y,1.0,Y
ENSG00000175322,48.0,48,18,14057456,14132489,-1,ENSG00000175322.7,18,14057456,14132489,ZNF519,116.32257565363301,0.40822885572139295,547.0,1641,75033,3,0,58996,18,13,16,7,-2.84641464131682,-2.87279498102368,-2.62354415217069,-1.7536603727349902,-2.44537580035802,0,Y,1.0,Y
ENSG00000101160,48.0,48,20,57570240,57582302,-1,ENSG00000101160.9,20,57570240,57582302,CTSZ,72.95057754973679,0.5558523957485171,169.6,848,12062,5,0,59037,0,2,0,1,0.0901730527954372,-0.63427910452017,0.42263894138835706,0.0978412615858116,0.30432815917641604,0,Y,1.0,Y
ENSG00000101457,48.0,48,20,44420576,44440066,1,ENSG00000101457.8,20,44420576,44440066,DNTTIP1,79.84667626629249,0.557459575793051,83.1428571428571,1164,19490,14,0,58949,13,2,0,0,0.7456330652277858,0.7957357132434151,-2.62354415217069,0.46241438666275,-1.23223106248495,0,Y,1.0,Y
ENSG00000185088,48.0,48,15,63418071,63450220,-1,ENSG00000185088.8,15,63418071,63450220,RPS27L,82.2545280342443,0.424767143517144,99.5,398,32149,4,0,58950,0,5,0,1,0.30606183669244,-0.456759688059105,0.6301565745310329,-0.563799584924795,-0.169560561848694,0,Y,1.0,Y
ENSG00000101166,48.0,48,20,57608200,57617964,-1,ENSG00000101166.11,20,57608200,57617964,SLMO2,60.4144865271741,0.425925490851114,103.5,621,9764,6,0,59155,0,8,0,8,0.16659453396999202,-2.87279498102368,0.4783484657640621,-1.23568027493984,-0.7928468431261221,0,Y,1.0,Y
ENSG00000167220,47.0,48,18,44633774,44676891,-1,ENSG00000167220.7,18,44633774,44676891,HDHD2,85.0599572423576,0.453855050369568,143.5,861,43117,6,0,59212,1,3,0,0,0.37540245962082,0.401853569885007,0.133476342508929,-0.0339985743575987,0.0687637541611147,0,Y,0.9791666666666666,N
ENSG00000088882,45.0,48,20,2774715,2781283,-1,ENSG00000088882.7,20,2774715,2781283,CPXM1,78.0410095933963,0.5839984805479,162.384615384615,2111,6568,13,0,59105,0,3,0,1,0.600286278511636,-0.16039073823125102,0.7574704355725941,0.0942159469639757,0.39646502501376,0,Y,0.9375,N
ENSG00000213714,47.0,48,20,55108302,55111576,1,ENSG00000213714.1,20,55108302,55111576,FAM209B,113.24392407957899,0.480440237226277,264.0,528,3274,2,0,58476,9,4,9,0,-2.84641464131682,0.297417410132999,-2.3680082400774305,-0.211026793520091,-1.14073475553299,0,Y,0.9791666666666666,N
ENSG00000138613,47.0,48,15,63568217,63601325,1,ENSG00000138613.9,15,63568217,63601325,APH1B,125.56683121808099,0.485113586925603,138.0,828,33108,6,0,59059,0,2,0,0,0.8273667093902409,0.713864708873902,1.17317802162982,0.638942613679045,0.998035061453932,0,Y,0.9791666666666666,N
ENSG00000011454,48.0,48,9,125703112,125867145,1,ENSG00000011454.12,9,125703112,125867145,RABGAP1,80.0795255578373,0.42713048728371,174.384615384615,4534,164033,26,0,58891,0,1,0,1,1.40510028565182,0.6911346458713339,1.24503979499026,1.05595475900922,1.36875489448415,0,Y,1.0,Y
ENSG00000175387,47.0,48,18,45357922,45457515,-1,ENSG00000175387.11,18,45357922,45457515,SMAD2,87.8288293791445,0.437626933905673,156.9,1569,99593,10,0,59011,0,4,0,2,0.678768354750496,-0.7509584067105161,0.854912585625116,-0.15316203432419,0.241589890211047,0,Y,0.9791666666666666,N
ENSG00000104043,48.0,48,15,50150435,50475014,-1,ENSG00000104043.10,15,50150435,50475014,ATP8B4,76.93676108567959,0.41603084928337497,155.964285714286,4367,324579,28,0,59018,0,3,0,0,1.616175091863,1.74375398922919,1.32347956029873,0.486141834067192,0.909778155864908,0,Y,1.0,N
ENSG00000182511,48.0,48,15,91426925,91439006,1,ENSG00000182511.7,15,91426925,91439006,FES,85.4858827396724,0.612115519484042,164.411764705882,2795,12081,17,1,58958,2,4,0,1,1.06808434331674,0.27651608867348904,0.32375848556813003,0.31636094252627506,0.348520682876764,1,Y,1.0,Y
ENSG00000124104,48.0,48,20,44462449,44471914,1,ENSG00000124104.14,20,44462449,44471914,SNX21,59.9908447290193,0.6172427390406889,252.4,1262,9465,5,0,58926,7,1,0,0,-0.0288316775068497,0.0377790107593844,-2.37000668610324,0.330056330954614,-0.967376589759247,0,Y,1.0,Y
ENSG00000215305,48.0,48,20,2821349,2847378,1,ENSG00000215305.5,20,2821349,2847378,VPS16,95.18563700548842,0.5662668238155151,123.954545454545,2727,26029,22,0,59044,0,2,0,0,1.28132696885812,1.27422550344731,1.25427533531909,0.776399335969068,1.11917137210333,0,Y,1.0,Y
ENSG00000101473,45.0,48,20,44470360,44486045,-1,ENSG00000101473.12,20,44470360,44486045,ACOT8,68.0720898941554,0.616216860893269,158.428571428571,1109,15685,7,0,58985,9,1,0,0,0.228294644961276,0.279033625640746,-2.62354415217069,0.48379603177447,-1.05005851059543,0,Y,0.9375,Y
ENSG00000140284,43.0,45,15,50474393,50528592,1,ENSG00000140284.6,15,50474393,50528592,SLC27A2,89.65279825062879,0.44316364267079,192.3,1923,54199,10,0,59078,2,2,1,1,-0.277975724888461,-0.15212346781531194,-0.152538042670867,0.38241128982890493,0.233992354093293,0,Y,0.9555555555555556,N
ENSG00000119522,46.0,48,9,126141933,126692431,-1,ENSG00000119522.11,9,126141933,126692431,DENND1A,76.0582524088937,0.511626204090058,147.636363636364,3248,550498,22,0,58874,0,2,0,1,1.3937937410026398,0.783235657205218,1.08901974967899,0.57621695305952,0.9096532282119608,0,Y,0.9583333333333334,N
ENSG00000166265,44.0,47,21,27838528,27945603,-1,ENSG00000166265.7,21,27838528,27945603,CYYR1,66.0795962439972,0.561184024286676,203.0,812,107075,4,0,59058,1,2,0,1,-0.00123858201587933,-0.658114741622532,-0.22511645015472895,-0.000297840098051,-0.0574306622725811,0,Y,0.9361702127659576,N
ENSG00000140455,47.0,48,15,63796793,63886839,1,ENSG00000140455.12,15,63796793,63886839,USP3,84.049246893818,0.4399570102890229,112.8,1692,90046,15,0,58832,0,5,0,5,0.933980549513088,-2.09626152552541,1.00338067551197,-0.250734070409576,0.19830086151154605,0,Y,0.9791666666666666,N
ENSG00000196199,48.0,48,13,20207788,20247599,1,ENSG00000196199.9,13,20207788,20247599,MPHOSPH8,82.9942614174637,0.437274284065348,191.785714285714,2685,39811,14,2,58939,0,57,0,4,1.05232082609082,-1.5349359174333,1.6363365176736298,-2.53125239294469,-2.47162789907313,1,Y,1.0,Y
