	Ensembl Gene ID	affectedTissues	expressedTissues	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	pLI	haplo	propOfExpressedAffectedByeQTL
0	ENSG00000138593	24.0	48	15	49280673	49338760	-1	0.10171305162342	N	0.5
1	ENSG00000166157	1.0	3	21	10906201	11029719	-1	5.114037387424538e-31	N	0.3333333333333333
2	ENSG00000168675	10.0	47	18	13217497	13652754	1	0.377306395292768	N	0.2127659574468085
3	ENSG00000188992	30.0	30	21	15481134	15583166	-1	8.82542393516549e-09	N	1.0
4	ENSG00000185272	48.0	48	21	15588451	15600693	1	2.91015515635607e-05	N	1.0
5	ENSG00000155304	23.0	48	21	15743436	15755805	-1	0.0018863698928211895	N	0.4791666666666667
6	ENSG00000166200	44.0	48	15	49398268	49447858	-1	0.999572843395694	Y	0.9166666666666666
7	ENSG00000155307	4.0	48	21	15857549	15955723	-1	0.0756023579713905	N	0.08333333333333333
8	ENSG00000153575	48.0	48	15	22833395	22873892	1	0.00012619716719476298	N	1.0
9	ENSG00000180530	12.0	48	21	16333556	16437321	-1	0.991172158226933	Y	0.25
10	ENSG00000137824	47.0	48	15	41028082	41048049	-1	0.023779597676249	N	0.9791666666666666
11	ENSG00000137880	3.0	48	15	41056218	41059906	1	0.0418968845933878	N	0.0625
12	ENSG00000104129	48.0	48	15	41060067	41099675	-1	0.0285392981407643	N	1.0
13	ENSG00000177150	43.0	48	18	13663346	13726662	-1	0.0151243026401628	N	0.8958333333333334
14	ENSG00000155313	9.0	48	21	17102344	17252377	1	0.990130458125693	Y	0.1875
15	ENSG00000101638	40.0	48	18	44259081	44339220	-1	0.0183928498018628	N	0.8333333333333334
16	ENSG00000154639	18.0	45	21	18884700	18965897	1	0.342891274842555	N	0.4
17	ENSG00000101654	47.0	48	18	13726659	13764557	1	0.0809328060183284	N	0.9791666666666666
18	ENSG00000078043	47.0	48	18	44388353	44500123	-1	0.997942260674644	Y	0.9791666666666666
19	ENSG00000156958	42.0	48	15	49447853	49660066	1	8.741200318903951e-06	N	0.875
20	ENSG00000154640	12.0	48	21	18965971	18985265	-1	0.696545555394833	N	0.25
21	ENSG00000140416	40.0	48	15	63334831	63364114	1	0.79947002234679	N	0.8333333333333334
22	ENSG00000154642	20.0	48	21	19161284	19191703	-1	0.00484582012569912	N	0.4166666666666667
23	ENSG00000140577	47.0	48	15	91073157	91188577	1	0.983929956417642	Y	0.9791666666666666
24	ENSG00000166140	48.0	48	15	41099284	41106767	1	7.40857843667129e-09	N	1.0
25	ENSG00000101138	48.0	48	20	54967427	54979518	1	0.937895869936688	Y	1.0
26	ENSG00000154645	34.0	45	21	19273580	19639690	1	0.00128507754633277	N	0.7555555555555555
27	ENSG00000068793	48.0	48	15	22892005	23006016	1	0.9949330316182592	Y	1.0
28	ENSG00000182931	22.0	22	20	44313292	44333658	-1	0.0148433867661418	N	1.0
29	ENSG00000154646	1.0	2	21	19641433	19858197	-1	1.2897709981496298e-18	N	0.5
30	ENSG00000168634	10.0	11	20	44330655	44337456	1	0.252946356503913	N	0.9090909090909091
31	ENSG00000101365	48.0	48	20	2639041	2644865	-1	3.06237188855065e-05	N	1.0
32	ENSG00000167216	48.0	48	18	44497455	44627658	1	0.000125861969085373	N	1.0
33	ENSG00000124116	48.0	48	20	44376583	44420571	-1	0.019237531618368	N	1.0
34	ENSG00000087589	15.0	48	20	54987168	55034396	1	0.296175209094422	N	0.3125
35	ENSG00000154654	38.0	47	21	22370633	22915650	1	0.922157338297282	Y	0.8085106382978723
36	ENSG00000166143	2.0	18	15	41107650	41120907	-1	0.0303416533365849	N	0.1111111111111111
