Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,CCN,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000185272,48.0,48,21,15588451,15600693,1,N,1.0,N
ENSG00000166200,44.0,48,15,49398268,49447858,-1,N,0.9166666666666666,N
ENSG00000153575,48.0,48,15,22833395,22873892,1,Y,1.0,Y
ENSG00000137824,47.0,48,15,41028082,41048049,-1,N,0.9791666666666666,N
ENSG00000104129,48.0,48,15,41060067,41099675,-1,N,1.0,Y
ENSG00000177150,43.0,48,18,13663346,13726662,-1,N,0.8958333333333334,N
ENSG00000101654,47.0,48,18,13726659,13764557,1,N,0.9791666666666666,Y
ENSG00000078043,47.0,48,18,44388353,44500123,-1,Y,0.9791666666666666,Y
ENSG00000140577,47.0,48,15,91073157,91188577,1,N,0.9791666666666666,N
ENSG00000166140,48.0,48,15,41099284,41106767,1,N,1.0,Y
ENSG00000101138,48.0,48,20,54967427,54979518,1,Y,1.0,Y
ENSG00000068793,48.0,48,15,22892005,23006016,1,Y,1.0,N
ENSG00000101365,48.0,48,20,2639041,2644865,-1,N,1.0,Y
ENSG00000167216,48.0,48,18,44497455,44627658,1,Y,1.0,Y
ENSG00000124116,48.0,48,20,44376583,44420571,-1,N,1.0,Y
ENSG00000166262,48.0,48,15,49619159,49913128,-1,N,1.0,Y
ENSG00000103642,48.0,48,15,63413999,63434260,1,N,1.0,N
ENSG00000154719,48.0,48,21,26957968,26979829,-1,N,1.0,Y
ENSG00000175322,48.0,48,18,14057456,14132489,-1,N,1.0,Y
ENSG00000101160,48.0,48,20,57570240,57582302,-1,Y,1.0,Y
ENSG00000101457,48.0,48,20,44420576,44440066,1,Y,1.0,Y
ENSG00000185088,48.0,48,15,63418071,63450220,-1,N,1.0,Y
ENSG00000170122,48.0,48,9,116237,118417,-1,N,1.0,Y
ENSG00000101166,48.0,48,20,57608200,57617964,-1,N,1.0,Y
ENSG00000167220,47.0,48,18,44633774,44676891,-1,N,0.9791666666666666,N
ENSG00000104047,47.0,48,15,49913177,49937333,1,Y,0.9791666666666666,Y
ENSG00000088882,45.0,48,20,2774715,2781283,-1,Y,0.9375,N
ENSG00000213714,47.0,48,20,55108302,55111576,1,N,0.9791666666666666,N
ENSG00000140157,48.0,48,15,23004684,23034427,-1,N,1.0,Y
ENSG00000138613,47.0,48,15,63568217,63601325,1,N,0.9791666666666666,N
ENSG00000011454,48.0,48,9,125703112,125867145,1,Y,1.0,Y
ENSG00000172785,48.0,48,9,121041,188979,-1,N,1.0,Y
ENSG00000175387,47.0,48,18,45357922,45457515,-1,Y,0.9791666666666666,N
ENSG00000104043,48.0,48,15,50150435,50475014,-1,Y,1.0,N
ENSG00000182511,48.0,48,15,91426925,91439006,1,N,1.0,Y
ENSG00000170113,48.0,48,15,23043277,23100005,-1,N,1.0,Y
ENSG00000124104,48.0,48,20,44462449,44471914,1,N,1.0,Y
ENSG00000215305,48.0,48,20,2821349,2847378,1,Y,1.0,Y
ENSG00000153666,43.0,43,15,23255242,23268823,1,N,1.0,N
ENSG00000101473,45.0,48,20,44470360,44486045,-1,Y,0.9375,Y
ENSG00000140284,43.0,45,15,50474393,50528592,1,Y,0.9555555555555556,N
ENSG00000107099,48.0,48,9,214854,465259,1,Y,1.0,Y
ENSG00000119522,46.0,48,9,126141933,126692431,-1,N,0.9583333333333334,N
ENSG00000166265,44.0,47,21,27838528,27945603,-1,N,0.9361702127659576,N
ENSG00000140455,47.0,48,15,63796793,63886839,1,Y,0.9791666666666666,N
ENSG00000196199,48.0,48,13,20207788,20247599,1,N,1.0,Y
ENSG00000156239,48.0,48,21,30244513,30257693,-1,N,1.0,N
ENSG00000196547,48.0,48,15,91445448,91465814,1,Y,1.0,N
ENSG00000107104,46.0,48,9,470291,746105,1,N,0.9583333333333334,N
ENSG00000121390,43.0,48,13,20248896,20357142,-1,Y,0.8958333333333334,N
ENSG00000134030,48.0,48,18,46065417,46389588,1,Y,1.0,Y
ENSG00000132950,48.0,48,13,20397622,20437776,-1,N,1.0,Y
ENSG00000198862,45.0,48,21,30300466,30365270,-1,Y,0.9375,N
ENSG00000182636,46.0,48,15,23930565,23932450,-1,N,0.9583333333333334,N
ENSG00000136930,48.0,48,9,127115745,127177723,-1,N,1.0,Y
ENSG00000187446,48.0,48,15,41523037,41574043,1,Y,1.0,Y
ENSG00000149634,47.0,48,20,44515128,44516274,-1,Y,0.9791666666666666,N
ENSG00000124257,47.0,48,20,44517264,44519926,-1,Y,0.9791666666666666,N
ENSG00000104147,44.0,48,15,41601466,41624819,-1,N,0.9166666666666666,N
ENSG00000156253,48.0,48,21,30376705,30391699,-1,Y,1.0,Y
ENSG00000101665,43.0,48,18,46446223,46477081,-1,Y,0.8958333333333334,N
ENSG00000124215,48.0,48,20,58533471,58609066,1,N,1.0,Y
ENSG00000141446,43.0,48,18,19109242,19180845,-1,Y,0.8958333333333334,N
ENSG00000197361,48.0,48,15,63889552,63894627,1,N,1.0,Y
ENSG00000080503,46.0,48,9,2015342,2193624,1,N,0.9583333333333334,N
ENSG00000136950,48.0,48,9,127624409,127640003,1,Y,1.0,Y
ENSG00000167088,48.0,48,18,19192228,19210417,1,N,1.0,Y
ENSG00000128218,45.0,45,22,24094930,24096655,-1,Y,1.0,N
ENSG00000138592,47.0,48,15,50716577,50793280,1,N,0.9791666666666666,N
ENSG00000179242,47.0,47,20,59827482,60515673,1,N,1.0,N
ENSG00000136935,48.0,48,9,127640646,127710771,-1,N,1.0,N
ENSG00000250479,48.0,48,22,24108021,24110630,-1,N,1.0,Y
ENSG00000141627,48.0,48,18,46570039,46987717,-1,N,1.0,Y
ENSG00000165474,44.0,48,13,20761609,20767037,-1,N,0.9166666666666666,N
ENSG00000140553,46.0,48,15,91473410,91497323,1,Y,0.9583333333333334,N
ENSG00000102309,48.0,48,X,71401203,71522776,1,N,1.0,Y
ENSG00000173611,48.0,48,9,127704887,127905785,-1,Y,1.0,Y
ENSG00000156261,48.0,48,21,30428126,30446118,-1,N,1.0,Y
ENSG00000165475,48.0,48,13,20977806,21099996,-1,Y,1.0,N
ENSG00000137806,47.0,48,15,41679551,41694717,-1,N,0.9791666666666666,N
ENSG00000099956,48.0,48,22,24129150,24176703,1,Y,1.0,Y
ENSG00000177576,48.0,48,18,47008028,47013622,-1,N,1.0,Y
ENSG00000119414,48.0,48,9,127908852,127952218,-1,Y,1.0,Y
ENSG00000101752,48.0,48,18,19284918,19450918,1,Y,1.0,Y
ENSG00000099958,44.0,48,22,24176690,24181315,-1,N,0.9166666666666666,N
ENSG00000125901,48.0,48,20,3026591,3028900,1,N,1.0,Y
ENSG00000136933,48.0,48,9,127962821,127996437,1,Y,1.0,Y
ENSG00000080608,45.0,48,9,2720469,2844241,-1,N,0.9375,N
ENSG00000032742,48.0,48,13,21140585,21265503,1,N,1.0,Y
ENSG00000156265,46.0,48,21,30449792,30548210,1,Y,0.9583333333333334,N
ENSG00000175806,47.0,48,8,9911778,10286401,1,Y,0.9791666666666666,N
