	Ensembl Gene ID	affectedTissues	expressedTissues	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	CNV	propOfExpressedAffectedByeQTL
0	ENSG00000138593	4.0	48	15	49280673	49338760	-1	N	0.08333333333333333
1	ENSG00000166351	1.0	1	21	14982498	15013906	1	Y	1.0
2	ENSG00000168675	1.0	47	18	13217497	13652754	1	Y	0.02127659574468085
3	ENSG00000188992	13.0	30	21	15481134	15583166	-1	N	0.43333333333333335
4	ENSG00000185272	8.0	48	21	15588451	15600693	1	N	0.16666666666666666
5	ENSG00000182974	1.0	1	15	22368478	22369561	1	Y	1.0
6	ENSG00000155304	1.0	48	21	15743436	15755805	-1	N	0.020833333333333332
7	ENSG00000153575	8.0	48	15	22833395	22873892	1	Y	0.16666666666666666
8	ENSG00000180530	2.0	48	21	16333556	16437321	-1	Y	0.041666666666666664
9	ENSG00000137824	9.0	48	15	41028082	41048049	-1	N	0.1875
10	ENSG00000137880	1.0	48	15	41056218	41059906	1	N	0.020833333333333332
11	ENSG00000104129	9.0	48	15	41060067	41099675	-1	N	0.1875
12	ENSG00000177150	4.0	48	18	13663346	13726662	-1	Y	0.08333333333333333
13	ENSG00000155313	1.0	48	21	17102344	17252377	1	N	0.020833333333333332
14	ENSG00000101638	4.0	48	18	44259081	44339220	-1	Y	0.08333333333333333
15	ENSG00000154639	4.0	45	21	18884700	18965897	1	Y	0.08888888888888889
16	ENSG00000101654	6.0	48	18	13726659	13764557	1	N	0.125
17	ENSG00000078043	8.0	48	18	44388353	44500123	-1	Y	0.16666666666666666
18	ENSG00000156958	3.0	48	15	49447853	49660066	1	Y	0.0625
19	ENSG00000154640	4.0	48	21	18965971	18985265	-1	Y	0.08333333333333333
20	ENSG00000140416	9.0	48	15	63334831	63364114	1	N	0.1875
21	ENSG00000154642	6.0	48	21	19161284	19191703	-1	N	0.125
22	ENSG00000140577	8.0	48	15	91073157	91188577	1	Y	0.16666666666666666
23	ENSG00000166140	36.0	48	15	41099284	41106767	1	N	0.75
24	ENSG00000101138	10.0	48	20	54967427	54979518	1	N	0.20833333333333334
25	ENSG00000154645	10.0	45	21	19273580	19639690	1	Y	0.2222222222222222
26	ENSG00000068793	15.0	48	15	22892005	23006016	1	Y	0.3125
27	ENSG00000182931	13.0	22	20	44313292	44333658	-1	N	0.5909090909090909
28	ENSG00000154646	1.0	2	21	19641433	19858197	-1	N	0.5
29	ENSG00000168634	5.0	11	20	44330655	44337456	1	N	0.45454545454545453
30	ENSG00000101365	6.0	48	20	2639041	2644865	-1	N	0.125
31	ENSG00000167216	17.0	48	18	44497455	44627658	1	Y	0.3541666666666667
32	ENSG00000124116	47.0	48	20	44376583	44420571	-1	Y	0.9791666666666666
33	ENSG00000087589	3.0	48	20	54987168	55034396	1	Y	0.0625
34	ENSG00000154654	3.0	47	21	22370633	22915650	1	Y	0.06382978723404255
35	ENSG00000166262	15.0	48	15	49619159	49913128	-1	Y	0.3125
36	ENSG00000176136	2.0	11	18	13824154	13826861	1	N	0.18181818181818182
37	ENSG00000185231	1.0	3	18	13882043	13915706	-1	Y	0.3333333333333333
38	ENSG00000103642	24.0	48	15	63413999	63434260	1	N	0.5
39	ENSG00000197299	2.0	48	15	91260558	91358859	1	Y	0.041666666666666664
40	ENSG00000154719	28.0	48	21	26957968	26979829	-1	N	0.5833333333333334
41	ENSG00000175322	36.0	48	18	14057456	14132489	-1	N	0.75
42	ENSG00000101160	6.0	48	20	57570240	57582302	-1	N	0.125
43	ENSG00000022277	8.0	48	20	55043647	55093943	1	N	0.16666666666666666
44	ENSG00000166145	5.0	48	15	41136216	41150405	1	N	0.10416666666666667
45	ENSG00000088881	4.0	48	20	2673524	2740753	1	N	0.08333333333333333
46	ENSG00000101162	3.0	48	20	57594309	57601709	1	N	0.0625
47	ENSG00000140285	2.0	40	15	49715293	49780972	1	N	0.05
48	ENSG00000183206	1.0	1	18	14507338	14543584	-1	Y	1.0
49	ENSG00000101457	30.0	48	20	44420576	44440066	1	N	0.625
50	ENSG00000154721	2.0	48	21	27011584	27089874	1	Y	0.041666666666666664
51	ENSG00000124172	2.0	48	20	57600522	57607437	-1	N	0.041666666666666664
52	ENSG00000185088	10.0	48	15	63418071	63450220	-1	Y	0.20833333333333334
53	ENSG00000170122	34.0	48	9	116237	118417	-1	Y	0.7083333333333334
54	ENSG00000166128	2.0	48	15	63481668	63559981	1	N	0.041666666666666664
55	ENSG00000101166	10.0	48	20	57608200	57617964	-1	N	0.20833333333333334
56	ENSG00000167220	13.0	48	18	44633774	44676891	-1	Y	0.2708333333333333
57	ENSG00000171448	1.0	48	9	125677845	125693779	-1	N	0.020833333333333332
58	ENSG00000124103	1.0	42	20	55092243	55101198	1	N	0.023809523809523808
59	ENSG00000104047	5.0	48	15	49913177	49937333	1	N	0.10416666666666667
60	ENSG00000088882	11.0	48	20	2774715	2781283	-1	N	0.22916666666666666
61	ENSG00000213714	1.0	48	20	55108302	55111576	1	Y	0.020833333333333332
62	ENSG00000104140	3.0	48	15	41164412	41166487	-1	N	0.0625
63	ENSG00000140564	4.0	48	15	91411822	91426688	1	Y	0.08333333333333333
64	ENSG00000140157	12.0	48	15	23004684	23034427	-1	Y	0.25
65	ENSG00000087510	5.0	45	20	55204358	55214339	1	N	0.1111111111111111
66	ENSG00000101470	1.0	48	20	44451853	44462384	-1	N	0.020833333333333332
67	ENSG00000138613	12.0	48	15	63568217	63601325	1	N	0.25
68	ENSG00000011454	10.0	48	9	125703112	125867145	1	N	0.20833333333333334
69	ENSG00000134049	5.0	48	18	44681413	44702745	-1	Y	0.10416666666666667
70	ENSG00000124205	4.0	41	20	57875482	57901047	1	N	0.0975609756097561
71	ENSG00000180777	8.0	24	18	14728271	14852737	1	Y	0.3333333333333333
72	ENSG00000101144	5.0	44	20	55743804	55841685	-1	Y	0.11363636363636363
73	ENSG00000215474	1.0	5	18	44746293	44775554	-1	Y	0.2
74	ENSG00000172785	46.0	48	9	121041	188979	-1	Y	0.9583333333333334
75	ENSG00000175387	6.0	48	18	45357922	45457515	-1	Y	0.125
76	ENSG00000104043	6.0	48	15	50150435	50475014	-1	Y	0.125
77	ENSG00000165209	5.0	48	9	125871779	126030855	-1	Y	0.10416666666666667
78	ENSG00000182511	14.0	48	15	91426925	91439006	1	N	0.2916666666666667
79	ENSG00000170113	26.0	48	15	23043277	23100005	-1	Y	0.5416666666666666
80	ENSG00000074410	9.0	48	15	63613577	63674360	-1	N	0.1875
81	ENSG00000087495	3.0	46	20	58152564	58422766	1	Y	0.06521739130434782
82	ENSG00000183784	8.0	42	9	213108	215893	-1	Y	0.19047619047619047
83	ENSG00000067900	1.0	48	18	18526867	18691812	-1	N	0.020833333333333332
84	ENSG00000128965	3.0	48	15	41245160	41248710	1	N	0.0625
85	ENSG00000124104	13.0	48	20	44462449	44471914	1	N	0.2708333333333333
86	ENSG00000148204	2.0	36	9	126118449	126142603	1	N	0.05555555555555555
87	ENSG00000101146	2.0	48	20	55926066	55954267	1	N	0.041666666666666664
88	ENSG00000215305	12.0	48	20	2821349	2847378	1	N	0.25
89	ENSG00000153666	23.0	43	15	23255242	23268823	1	Y	0.5348837209302325
90	ENSG00000142192	4.0	48	21	27252861	27543446	-1	Y	0.08333333333333333
91	ENSG00000101473	1.0	48	20	44470360	44486045	-1	N	0.020833333333333332
92	ENSG00000140284	8.0	45	15	50474393	50528592	1	N	0.17777777777777778
93	ENSG00000198033	2.0	15	13	19747910	19755992	-1	Y	0.13333333333333333
94	ENSG00000121388	1.0	1	13	19756173	19761496	1	N	1.0
95	ENSG00000132819	4.0	48	20	55966463	55984389	1	N	0.08333333333333333
96	ENSG00000107099	25.0	48	9	214854	465259	1	Y	0.5208333333333334
97	ENSG00000119522	5.0	48	9	126141933	126692431	-1	Y	0.10416666666666667
98	ENSG00000166265	2.0	47	21	27838528	27945603	-1	N	0.0425531914893617
99	ENSG00000196074	1.0	48	20	58438618	58508710	-1	N	0.020833333333333332
100	ENSG00000140287	2.0	46	15	50534144	50558223	-1	N	0.043478260869565216
101	ENSG00000132958	4.0	41	13	19997017	20110903	-1	Y	0.0975609756097561
102	ENSG00000140455	4.0	48	15	63796793	63886839	1	N	0.08333333333333333
103	ENSG00000184828	4.0	46	18	45553044	45937123	-1	Y	0.08695652173913043
104	ENSG00000259455	1.0	3	15	23405069	23414193	-1	Y	0.3333333333333333
105	ENSG00000154736	3.0	46	21	28290231	28338832	-1	Y	0.06521739130434782
106	ENSG00000261739	1.0	4	15	23599895	23612378	1	Y	0.25
107	ENSG00000196199	20.0	48	13	20207788	20247599	1	Y	0.4166666666666667
108	ENSG00000156239	20.0	48	21	30244513	30257693	-1	N	0.4166666666666667
109	ENSG00000196547	7.0	48	15	91445448	91465814	1	N	0.14583333333333334
110	ENSG00000107104	11.0	48	9	470291	746105	1	Y	0.22916666666666666
111	ENSG00000121390	2.0	48	13	20248896	20357142	-1	Y	0.041666666666666664
112	ENSG00000174450	1.0	2	15	23684645	23692381	-1	Y	0.5
113	ENSG00000119408	6.0	48	9	127019885	127115586	1	Y	0.125
114	ENSG00000137090	1.0	3	9	841690	969090	1	Y	0.3333333333333333
115	ENSG00000134030	3.0	48	18	46065417	46389588	1	Y	0.0625
116	ENSG00000064218	4.0	26	9	976964	991731	1	N	0.15384615384615385
117	ENSG00000132950	4.0	48	13	20397622	20437776	-1	N	0.08333333333333333
118	ENSG00000128322	1.0	14	22	23915312	23922495	-1	Y	0.07142857142857142
119	ENSG00000198862	2.0	48	21	30300466	30365270	-1	N	0.041666666666666664
120	ENSG00000182636	13.0	48	15	23930565	23932450	-1	N	0.2708333333333333
121	ENSG00000136930	13.0	48	9	127115745	127177723	-1	N	0.2708333333333333
122	ENSG00000185823	5.0	21	15	24920541	24928593	1	N	0.23809523809523808
123	ENSG00000173253	11.0	41	9	1050354	1057552	1	N	0.2682926829268293
124	ENSG00000168612	3.0	48	20	44509866	44513905	1	N	0.0625
125	ENSG00000187446	7.0	48	15	41523037	41574043	1	N	0.14583333333333334
126	ENSG00000149634	1.0	48	20	44515128	44516274	-1	N	0.020833333333333332
127	ENSG00000124257	5.0	48	20	44517264	44519926	-1	N	0.10416666666666667
128	ENSG00000180264	3.0	17	9	127213423	127239379	1	N	0.17647058823529413
129	ENSG00000104147	3.0	48	15	41601466	41624819	-1	Y	0.0625
130	ENSG00000189269	43.0	48	22	23950639	23974508	-1	Y	0.8958333333333334
131	ENSG00000156253	33.0	48	21	30376705	30391699	-1	N	0.6875
