Gene stable ID	Transcript stable ID
ENSBTAG00000006648	ENSBTAT00000008737
ENSBTAG00000006648	ENSBTAT00000007786
ENSBTAG00000054829	ENSBTAT00000066364
ENSBTAG00000001753	ENSBTAT00000002299
ENSBTAG00000001753	ENSBTAT00000078601
ENSBTAG00000001753	ENSBTAT00000071032
ENSBTAG00000046015	ENSBTAT00000063461
ENSBTAG00000021251	ENSBTAT00000028318
ENSBTAG00000021251	ENSBTAT00000069088
ENSBTAG00000020035	ENSBTAT00000074355
ENSBTAG00000020035	ENSBTAT00000037243
ENSBTAG00000005540	ENSBTAT00000007283
ENSBTAG00000001150	ENSBTAT00000001530
ENSBTAG00000026259	ENSBTAT00000037244
ENSBTAG00000051226	ENSBTAT00000070795
ENSBTAG00000013841	ENSBTAT00000018387
ENSBTAG00000021253	ENSBTAT00000028324
ENSBTAG00000021253	ENSBTAT00000065278
ENSBTAG00000021253	ENSBTAT00000069342
ENSBTAG00000011528	ENSBTAT00000015319
ENSBTAG00000026260	ENSBTAT00000037245
ENSBTAG00000012594	ENSBTAT00000016717
ENSBTAG00000012594	ENSBTAT00000081747
ENSBTAG00000021259	ENSBTAT00000028327
ENSBTAG00000018278	ENSBTAT00000024326
ENSBTAG00000018278	ENSBTAT00000073708
ENSBTAG00000030836	ENSBTAT00000028333
ENSBTAG00000021997	ENSBTAT00000029333
ENSBTAG00000021997	ENSBTAT00000081085
ENSBTAG00000021997	ENSBTAT00000065213
ENSBTAG00000021270	ENSBTAT00000043589
ENSBTAG00000008490	ENSBTAT00000049681
ENSBTAG00000021272	ENSBTAT00000085091
ENSBTAG00000021272	ENSBTAT00000028342
ENSBTAG00000035175	ENSBTAT00000049667
ENSBTAG00000021276	ENSBTAT00000028349
ENSBTAG00000030814	ENSBTAT00000043564
ENSBTAG00000008482	ENSBTAT00000011175
ENSBTAG00000008482	ENSBTAT00000074871
ENSBTAG00000008482	ENSBTAT00000082942
ENSBTAG00000008482	ENSBTAT00000072752
ENSBTAG00000008482	ENSBTAT00000072838
ENSBTAG00000048276	ENSBTAT00000065109
ENSBTAG00000021280	ENSBTAT00000028354
ENSBTAG00000023398	ENSBTAT00000028356
ENSBTAG00000023398	ENSBTAT00000085998
ENSBTAG00000009188	ENSBTAT00000012108
ENSBTAG00000009187	ENSBTAT00000012106
ENSBTAG00000001258	ENSBTAT00000001660
ENSBTAG00000021284	ENSBTAT00000075049
ENSBTAG00000021284	ENSBTAT00000043552
ENSBTAG00000050537	ENSBTAT00000079644
ENSBTAG00000012899	ENSBTAT00000017147
ENSBTAG00000012899	ENSBTAT00000080092
ENSBTAG00000012899	ENSBTAT00000066996
ENSBTAG00000051592	ENSBTAT00000083058
ENSBTAG00000013205	ENSBTAT00000069588
ENSBTAG00000013205	ENSBTAT00000046134
ENSBTAG00000013205	ENSBTAT00000070445
ENSBTAG00000013205	ENSBTAT00000017575
ENSBTAG00000021286	ENSBTAT00000043509
ENSBTAG00000021286	ENSBTAT00000078051
ENSBTAG00000013456	ENSBTAT00000083349
ENSBTAG00000013456	ENSBTAT00000017899
ENSBTAG00000006494	ENSBTAT00000008509
ENSBTAG00000013148	ENSBTAT00000017476
ENSBTAG00000021025	ENSBTAT00000027999
ENSBTAG00000015460	ENSBTAT00000020544
ENSBTAG00000015460	ENSBTAT00000079852
ENSBTAG00000015460	ENSBTAT00000072111
ENSBTAG00000021819	ENSBTAT00000029080
ENSBTAG00000053900	ENSBTAT00000083717
ENSBTAG00000019404	ENSBTAT00000073488
ENSBTAG00000019404	ENSBTAT00000025852
ENSBTAG00000019404	ENSBTAT00000078494
ENSBTAG00000032538	ENSBTAT00000046168
ENSBTAG00000032538	ENSBTAT00000077615
ENSBTAG00000032538	ENSBTAT00000076895
ENSBTAG00000021899	ENSBTAT00000029195
ENSBTAG00000021899	ENSBTAT00000077222
ENSBTAG00000021899	ENSBTAT00000072103
ENSBTAG00000015212	ENSBTAT00000020239
ENSBTAG00000044001	ENSBTAT00000061134
ENSBTAG00000044001	ENSBTAT00000070743
ENSBTAG00000021490	ENSBTAT00000073162
ENSBTAG00000021490	ENSBTAT00000028643
ENSBTAG00000049984	ENSBTAT00000067293
ENSBTAG00000051429	ENSBTAT00000066310
ENSBTAG00000051548	ENSBTAT00000077306
ENSBTAG00000001511	ENSBTAT00000001978
ENSBTAG00000001511	ENSBTAT00000071778
ENSBTAG00000037547	ENSBTAT00000054480
ENSBTAG00000049136	ENSBTAT00000081197
ENSBTAG00000043993	ENSBTAT00000061032
ENSBTAG00000003179	ENSBTAT00000004128
ENSBTAG00000003064	ENSBTAT00000003986
ENSBTAG00000017312	ENSBTAT00000023020
ENSBTAG00000021491	ENSBTAT00000070054
ENSBTAG00000021491	ENSBTAT00000077373
ENSBTAG00000021491	ENSBTAT00000028645
ENSBTAG00000021491	ENSBTAT00000043714
ENSBTAG00000032265	ENSBTAT00000045760
