Ensembl Gene ID,affectedTissues,expressedTissues,Chromosome Name,Gene Start (bp),Gene End (bp),Strand,pLI,haplo,propOfExpressedAffectedByeQTL,affectedByBroad
ENSG00000185272,48.0,48,21,15588451,15600693,1,2.91015515635607e-05,N,1.0,N
ENSG00000166200,44.0,48,15,49398268,49447858,-1,0.9995728433956941,Y,0.9166666666666666,N
ENSG00000153575,48.0,48,15,22833395,22873892,1,0.00012619716719476298,N,1.0,Y
ENSG00000137824,47.0,48,15,41028082,41048049,-1,0.023779597676249,N,0.9791666666666666,N
ENSG00000104129,48.0,48,15,41060067,41099675,-1,0.0285392981407643,N,1.0,Y
ENSG00000177150,43.0,48,18,13663346,13726662,-1,0.0151243026401628,N,0.8958333333333334,N
ENSG00000101654,47.0,48,18,13726659,13764557,1,0.0809328060183284,N,0.9791666666666666,Y
ENSG00000078043,47.0,48,18,44388353,44500123,-1,0.9979422606746441,Y,0.9791666666666666,Y
ENSG00000140577,47.0,48,15,91073157,91188577,1,0.9839299564176421,Y,0.9791666666666666,N
ENSG00000166140,48.0,48,15,41099284,41106767,1,7.40857843667129e-09,N,1.0,Y
ENSG00000101138,48.0,48,20,54967427,54979518,1,0.9378958699366879,Y,1.0,Y
ENSG00000068793,48.0,48,15,22892005,23006016,1,0.9949330316182592,Y,1.0,N
ENSG00000101365,48.0,48,20,2639041,2644865,-1,3.06237188855065e-05,N,1.0,Y
ENSG00000167216,48.0,48,18,44497455,44627658,1,0.000125861969085373,N,1.0,Y
ENSG00000124116,48.0,48,20,44376583,44420571,-1,0.019237531618367998,N,1.0,Y
ENSG00000166262,48.0,48,15,49619159,49913128,-1,2.74008557766254e-16,N,1.0,Y
ENSG00000103642,48.0,48,15,63413999,63434260,1,0.0026596120791923398,N,1.0,N
ENSG00000154719,48.0,48,21,26957968,26979829,-1,0.000718691512555642,N,1.0,Y
ENSG00000175322,48.0,48,18,14057456,14132489,-1,8.85353913956773e-07,N,1.0,Y
ENSG00000101160,48.0,48,20,57570240,57582302,-1,1.3153422123697199e-09,N,1.0,Y
ENSG00000101457,48.0,48,20,44420576,44440066,1,0.43143668779990596,N,1.0,Y
ENSG00000185088,48.0,48,15,63418071,63450220,-1,0.33585190187747704,N,1.0,Y
ENSG00000101166,48.0,48,20,57608200,57617964,-1,0.24136867864781,N,1.0,Y
ENSG00000167220,47.0,48,18,44633774,44676891,-1,0.000427885483918572,N,0.9791666666666666,N
ENSG00000104047,47.0,48,15,49913177,49937333,1,1.4054382775954999e-05,N,0.9791666666666666,Y
ENSG00000088882,45.0,48,20,2774715,2781283,-1,2.33840235512205e-11,N,0.9375,N
ENSG00000213714,47.0,48,20,55108302,55111576,1,0.0297206395001582,N,0.9791666666666666,N
ENSG00000140157,48.0,48,15,23004684,23034427,-1,0.487193753650621,N,1.0,Y
ENSG00000138613,47.0,48,15,63568217,63601325,1,0.000234972220416475,N,0.9791666666666666,N
ENSG00000011454,48.0,48,9,125703112,125867145,1,0.9999997997703279,Y,1.0,Y
ENSG00000172785,48.0,48,9,121041,188979,-1,0.642141452095713,N,1.0,Y
ENSG00000175387,47.0,48,18,45357922,45457515,-1,0.988180754171779,Y,0.9791666666666666,N
ENSG00000104043,48.0,48,15,50150435,50475014,-1,2.4216439430567396e-27,N,1.0,N
ENSG00000182511,48.0,48,15,91426925,91439006,1,2.77390387287312e-05,N,1.0,Y
ENSG00000170113,48.0,48,15,23043277,23100005,-1,0.21409749585235505,N,1.0,Y
ENSG00000124104,48.0,48,20,44462449,44471914,1,0.0208140161677358,N,1.0,Y
ENSG00000215305,48.0,48,20,2821349,2847378,1,2.2945811935557506e-05,N,1.0,Y
ENSG00000153666,43.0,43,15,23255242,23268823,1,0.263870337812603,N,1.0,N
ENSG00000101473,45.0,48,20,44470360,44486045,-1,3.56850509972552e-05,N,0.9375,Y
ENSG00000140284,43.0,45,15,50474393,50528592,1,2.58257558060631e-05,N,0.9555555555555556,N
ENSG00000107099,48.0,48,9,214854,465259,1,0.00013543398043996,N,1.0,Y
ENSG00000119522,46.0,48,9,126141933,126692431,-1,0.904475401385969,Y,0.9583333333333334,N
ENSG00000166265,44.0,47,21,27838528,27945603,-1,0.0344265894425975,N,0.9361702127659576,N
ENSG00000140455,47.0,48,15,63796793,63886839,1,0.984379976108001,Y,0.9791666666666666,N
ENSG00000196199,48.0,48,13,20207788,20247599,1,0.930242309438753,Y,1.0,Y
ENSG00000156239,48.0,48,21,30244513,30257693,-1,0.009871784675834359,N,1.0,N
ENSG00000196547,48.0,48,15,91445448,91465814,1,3.60787631910875e-09,N,1.0,N
ENSG00000121390,43.0,48,13,20248896,20357142,-1,0.9926070201195,Y,0.8958333333333334,N
ENSG00000134030,48.0,48,18,46065417,46389588,1,0.9827545804236372,Y,1.0,Y
ENSG00000132950,48.0,48,13,20397622,20437776,-1,0.20037813455561398,N,1.0,Y
ENSG00000198862,45.0,48,21,30300466,30365270,-1,0.832714009845553,N,0.9375,N
ENSG00000182636,46.0,48,15,23930565,23932450,-1,0.470364294438916,N,0.9583333333333334,N
ENSG00000136930,48.0,48,9,127115745,127177723,-1,0.941261762860495,Y,1.0,Y
ENSG00000187446,48.0,48,15,41523037,41574043,1,0.22812319182826504,N,1.0,Y
ENSG00000149634,47.0,48,20,44515128,44516274,-1,0.000413851176082059,N,0.9791666666666666,N
ENSG00000124257,47.0,48,20,44517264,44519926,-1,0.00262021372533022,N,0.9791666666666666,N
ENSG00000104147,44.0,48,15,41601466,41624819,-1,1.53697409243863e-08,N,0.9166666666666666,N
ENSG00000189269,47.0,48,22,23950639,23974508,-1,4.7210621062555286e-07,N,0.9791666666666666,Y
ENSG00000156253,48.0,48,21,30376705,30391699,-1,0.00017491703286545902,N,1.0,Y
ENSG00000101665,43.0,48,18,46446223,46477081,-1,0.975695730781462,Y,0.8958333333333334,N
ENSG00000124215,48.0,48,20,58533471,58609066,1,5.556350148333309e-23,N,1.0,Y
ENSG00000141446,43.0,48,18,19109242,19180845,-1,0.998809460698957,Y,0.8958333333333334,N
