Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSBTAG00000032079	ENSBTAG00000013105	SYT9	SYT3	0.00287298641083233	0.019139664092333	2	Vertebrata	protein_coding
ENSBTAG00000021457	ENSBTAG00000017448	EFEMP2	EFEMP1	0.000219507267960472	4.61095417382154e-16	5	Vertebrata	protein_coding
ENSBTAG00000003097	ENSBTAG00000017095	DENND4C	DENND4A	2.35120409262824e-06	1.57326667875951e-20	1	Vertebrata	protein_coding
ENSBTAG00000016838	ENSBTAG00000002175	SRPK1	SRPK2	4.69085046855295e-07	1.16673320050765e-27	4	Vertebrata	protein_coding
ENSBTAG00000016794	ENSBTAG00000014333	ENSBTAG00000016794	SLC10A3	0.0314027335309358	0.0116406820596307	2	Vertebrata	protein_coding
ENSBTAG00000014526	ENSBTAG00000023551	MOB3A	MOB3C	8.23376828889135e-10	4.44768717063223e-18	5	Vertebrata	protein_coding
ENSBTAG00000003727	ENSBTAG00000038617	SH3KBP1	SH3D21	0.00136208639801993	2.94602901164103e-07	2	Vertebrata	protein_coding
ENSBTAG00000005810	ENSBTAG00000012507	PDZK1	PDZD3	7.89583310577531e-05	1.35107271421625e-15	4	Vertebrata	protein_coding
ENSBTAG00000006739	ENSBTAG00000005353	ENSBTAG00000006739	DES	0.00185869456886594	2.55934313419671e-07	2	Vertebrata	protein_coding
ENSBTAG00000015702	ENSBTAG00000009059	PITX3	PITX2	0.000120968534146261	6.05798721978347e-18	2	Older	protein_coding
ENSBTAG00000021600	ENSBTAG00000012564	KANSL1L	KANSL1	0.0027479325267372	7.10407231637972e-28	1	Vertebrata	protein_coding
ENSBTAG00000003959	ENSBTAG00000007878	ARHGAP24	ARHGAP22	2.98791626567232e-07	5.94146560106955e-19	2	Vertebrata	protein_coding
ENSBTAG00000000606	ENSBTAG00000013105	SYT10	SYT3	0.00998348851434688	2.55038666290574e-05	2	Vertebrata	protein_coding
ENSBTAG00000012667	ENSBTAG00000012653	CAMK2G	CAMK2B	9.378985182983e-10	8.33547739535727e-18	3	Vertebrata	protein_coding
ENSBTAG00000047613	ENSBTAG00000008389	HTRA3	HTRA1	0.000215225252356689	9.39038353178729e-35	2	Vertebrata	protein_coding
ENSBTAG00000003467	ENSBTAG00000008117	SLC5A11	SLC5A4	0.000258867877688162	4.55664851436992e-07	3	Vertebrata	protein_coding
ENSBTAG00000021420	ENSBTAG00000015377	EPHA7	EPHB1	8.85402157069455e-08	8.248034492283e-08	3	Vertebrata	protein_coding
ENSBTAG00000006335	ENSBTAG00000010125	STAT6	STAT5B	0.000744322406463435	1.79086194539395e-17	3	Vertebrata	protein_coding
ENSBTAG00000046949	ENSBTAG00000046531	ENSBTAG00000046949	ENSBTAG00000046531	0.0249254229624592	0.00564079664739175	4	Younger	protein_coding
ENSBTAG00000002411	ENSBTAG00000001473	CTNND1	ARVCF	8.93536486299194e-05	1.12350013111643e-13	4	Vertebrata	protein_coding
